control_code,area,subject,observed,required,status,detail
PKG001,PACKAGE,ZIP SHA-256,aa1506e932f63c350ba38b2db025f57077a6ffaa15b2437c896680aa6b4c38b6,aa1506e932f63c350ba38b2db025f57077a6ffaa15b2437c896680aa6b4c38b6,PASS,
PKG002,PACKAGE,Sidecar pairing,aa1506e932f63c350ba38b2db025f57077a6ffaa15b2437c896680aa6b4c38b6  M2_12_Build_WP4_R1.zip,aa1506e932f63c350ba38b2db025f57077a6ffaa15b2437c896680aa6b4c38b6  M2_12_Build_WP4_R1.zip,PASS,
PKG003,PACKAGE,ZIP bytes,91288357,91288357,PASS,
PKG004,PACKAGE,ZIP entries,77,77,PASS,
PKG005,PACKAGE,ZIP CRC,PASS,PASS,PASS,
PKG006,PACKAGE,Unsafe paths,0,0,PASS,
PKG007,PACKAGE,Duplicate paths,0,0,PASS,
PKG008,PACKAGE,Case-insensitive duplicate paths,0,0,PASS,
PKG009,PACKAGE,Symbolic links,0,0,PASS,
PKG010,PACKAGE,Maximum path length,139,<=240,PASS,
PKG011,PACKAGE,MANIFEST.csv parity,72/72,72/72,PASS,
PKG012,PACKAGE,manifest.json parity,72,72,PASS,
PKG013,PACKAGE,PACKAGE_INVENTORY.csv parity,76/76,76/76,PASS,
PKG014,PACKAGE,SHA256SUMS parity,74/74,74/74,PASS,
GOV001A,GOVERNING_INPUT,WP1_R10 SHA-256,2e4017c80b03bf7ff691b114654beed0a63dcf677607bde11696f6b5582e6d10,2e4017c80b03bf7ff691b114654beed0a63dcf677607bde11696f6b5582e6d10,PASS,
GOV001B,GOVERNING_INPUT,WP1_R10 CRC,PASS,PASS,PASS,
GOV001C,GOVERNING_INPUT,WP1_R10 sidecar,2e4017c80b03bf7ff691b114654beed0a63dcf677607bde11696f6b5582e6d10  M2_12_Build_WP1_R10.zip,2e4017c80b03bf7ff691b114654beed0a63dcf677607bde11696f6b5582e6d10  M2_12_Build_WP1_R10.zip,PASS,
GOV002A,GOVERNING_INPUT,WP2_R4 SHA-256,aa234e534c8dbed7cdd7ba5ed6041e498df4c9046cbac4663477a08647e73592,aa234e534c8dbed7cdd7ba5ed6041e498df4c9046cbac4663477a08647e73592,PASS,
GOV002B,GOVERNING_INPUT,WP2_R4 CRC,PASS,PASS,PASS,
GOV002C,GOVERNING_INPUT,WP2_R4 sidecar,aa234e534c8dbed7cdd7ba5ed6041e498df4c9046cbac4663477a08647e73592  M2_12_Build_WP2_R4.zip,aa234e534c8dbed7cdd7ba5ed6041e498df4c9046cbac4663477a08647e73592  M2_12_Build_WP2_R4.zip,PASS,
GOV003A,GOVERNING_INPUT,WP3_R1 SHA-256,5aa031b5e1dba1a92538eccb25a047e3db682357122c2f882a7736fd4b14cf26,5aa031b5e1dba1a92538eccb25a047e3db682357122c2f882a7736fd4b14cf26,PASS,
GOV003B,GOVERNING_INPUT,WP3_R1 CRC,PASS,PASS,PASS,
GOV003C,GOVERNING_INPUT,WP3_R1 sidecar,5aa031b5e1dba1a92538eccb25a047e3db682357122c2f882a7736fd4b14cf26  M2_12_Build_WP3_R1.zip,5aa031b5e1dba1a92538eccb25a047e3db682357122c2f882a7736fd4b14cf26  M2_12_Build_WP3_R1.zip,PASS,
GOV004A,GOVERNING_INPUT,WP3_AUDIT SHA-256,efe4fef4cd596f552db06e57752355f2e5b2b84f0f7a71530b77c419b3be6130,efe4fef4cd596f552db06e57752355f2e5b2b84f0f7a71530b77c419b3be6130,PASS,
GOV004B,GOVERNING_INPUT,WP3_AUDIT CRC,PASS,PASS,PASS,
GOV004C,GOVERNING_INPUT,WP3_AUDIT sidecar,efe4fef4cd596f552db06e57752355f2e5b2b84f0f7a71530b77c419b3be6130  M2_12_WP3_R1_RECONCILED_FINAL_INDEPENDENT_AUDIT_PACKAGE_20260810.zip,efe4fef4cd596f552db06e57752355f2e5b2b84f0f7a71530b77c419b3be6130  M2_12_WP3_R1_RECONCILED_FINAL_INDEPENDENT_AUDIT_PACKAGE_20260810.zip,PASS,
GOV020,GOVERNING_INPUT,WP3 signoff authorizes WP4,True,True,PASS,
