table_name,column_name,data_type,nullability,business_definition,source_or_formula
application_obligation_snapshot,obligation_status,text,NOT NULL,Obligation status,ACTIVE
application_obligation_snapshot,payment_frequency,text,NOT NULL,Payment frequency,MONTHLY
application_obligation_snapshot,maturity_date,date,NULL,Maturity date,M1.10 governed generation/derivation
application_obligation_snapshot,secured_flag,boolean,NOT NULL,Secured flag,false
application_obligation_snapshot,data_confidence_score,"numeric(9,6)",NOT NULL,Data confidence score,1.0
application_obligation_snapshot,obligation_quality_status,text,NOT NULL,Obligation quality status,PASS
application_obligation_snapshot,obligation_reason_code,text,NOT NULL,Obligation reason code,SYNTHETIC_OBSERVED
application_obligation_snapshot,row_hash,text,NOT NULL,Row hash,M1.10 governed generation/derivation
application_obligation_snapshot,created_at,timestamptz,NOT NULL,Created at,clock_timestamp()
application_liquidity_capacity_snapshot,module1_run_id,bigint,NOT NULL,Module1 run id,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,scenario_id,bigint,NOT NULL,Scenario id,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,merchant_application_id,text,NOT NULL,Merchant application id,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,population_id,text,NOT NULL,Population id,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,merchant_id,text,NOT NULL,Merchant id,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,as_of_date,date,NOT NULL,As of date,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,obligation_source_snapshot_id,bigint,NOT NULL,Obligation source snapshot id,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,obligation_availability_status,text,NOT NULL,Obligation availability status,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,obligation_quality_status,text,NOT NULL,Obligation quality status,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,obligation_confidence_score,"numeric(9,6)",NOT NULL,Obligation confidence score,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,feature_completeness_status,text,NOT NULL,Feature completeness status,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,verification_disposition,text,NOT NULL,Verification disposition,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,obligation_count,integer,NOT NULL,Obligation count,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,short_term_obligation_count,integer,NOT NULL,Short term obligation count,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,secured_obligation_count,integer,NOT NULL,Secured obligation count,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,stacked_obligation_count,integer,NOT NULL,Stacked obligation count,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,max_stacking_sequence,smallint,NOT NULL,Max stacking sequence,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,existing_outstanding_balance,"numeric(18,2)",NOT NULL,Existing outstanding balance,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,fixed_existing_daily_payment_amount,"numeric(18,2)",NOT NULL,Fixed existing daily payment amount,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,existing_sales_linked_remittance_rate,"numeric(12,8)",NOT NULL,Existing sales linked remittance rate,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,existing_daily_payment_amount,"numeric(18,2)",NOT NULL,Existing daily payment amount,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,existing_monthly_payment_amount,"numeric(18,2)",NOT NULL,Existing monthly payment amount,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,largest_existing_daily_payment_amount,"numeric(18,2)",NOT NULL,Largest existing daily payment amount,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,requested_rate_based_daily_remittance,"numeric(18,2)",NULL,Requested rate based daily remittance,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,requested_horizon_required_daily_repayment,"numeric(18,2)",NOT NULL,Requested horizon required daily repayment,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,requested_daily_remittance_amount,"numeric(18,2)",NOT NULL,Requested daily remittance amount,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,requested_monthly_remittance_amount,"numeric(18,2)",NOT NULL,Requested monthly remittance amount,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,total_daily_obligation_burden,"numeric(18,2)",NOT NULL,Total daily obligation burden,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,total_monthly_obligation_burden,"numeric(18,2)",NOT NULL,Total monthly obligation burden,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,estimated_daily_operating_cash_flow,"numeric(18,2)",NULL,Estimated daily operating cash flow,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,existing_obligation_to_sales_rate,"numeric(12,8)",NULL,Existing obligation to sales rate,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,total_obligation_to_sales_rate,"numeric(12,8)",NULL,Total obligation to sales rate,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,sales_linked_payment_coverage_ratio,"numeric(12,8)",NULL,Sales linked payment coverage ratio,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,residual_daily_operating_cash_flow,"numeric(18,2)",NULL,Residual daily operating cash flow,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,residual_monthly_operating_cash_flow,"numeric(18,2)",NULL,Residual monthly operating cash flow,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,current_liquidity_buffer_amount,"numeric(18,2)",NULL,Current liquidity buffer amount,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,post_financing_liquidity_buffer_amount,"numeric(18,2)",NULL,Post financing liquidity buffer amount,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,post_financing_buffer_days,"numeric(12,4)",NULL,Post financing buffer days,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,obligation_concentration_rate,"numeric(12,8)",NOT NULL,Obligation concentration rate,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,stacking_depth,smallint,NOT NULL,Stacking depth,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,independent_capacity_tier,smallint,NOT NULL,Independent capacity tier,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,baseline_capacity_tier,smallint,NOT NULL,Baseline capacity tier,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,capacity_tier,smallint,NOT NULL,Capacity tier,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,stress_capacity_worsening_flag,boolean,NOT NULL,Stress capacity worsening flag,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,capacity_evidence_status,text,NOT NULL,Capacity evidence status,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,affordability_status,text,NOT NULL,Affordability status,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,manual_review_recommended_flag,boolean,NOT NULL,Manual review recommended flag,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,fallback_path_code,text,NOT NULL,Fallback path code,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,primary_capacity_reason_code,text,NOT NULL,Primary capacity reason code,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,secondary_capacity_reason_codes,text[],NOT NULL,Secondary capacity reason codes,M1.10 governed generation/derivation
application_liquidity_capacity_snapshot,row_hash,text,NOT NULL,Row hash,M1.10 governed generation/derivation
