cost_basis_code,cost_basis_name,conditional_basis_flag
FIXED_CAMPAIGN,Fixed Campaign,False
PER_IMPRESSION_OR_DELIVERY,Per Impression or Delivery,False
PER_CLICK_OR_RESPONSE,Per Click or Response,False
PER_QUALIFIED_LEAD,Per Qualified Lead,False
PER_APPLICATION_START,Per Application Start,False
PER_SUBMITTED_APPLICATION,Per Submitted Application,False
PER_APPROVED_APPLICATION,Per Approved Application,True
PER_ACCEPTED_OFFER,Per Accepted Offer,True
PER_FUNDED_ACCOUNT,Per Funded Account,True
PERCENT_FUNDED_AMOUNT,Percent of Funded Amount,True
INTERNAL_LABOR_HOUR,Internal Labor Hour,False
ALLOCATED_OVERHEAD,Allocated Overhead,False
SUPPORTED_ZERO,Supported Zero,False
NOT_APPLICABLE,Not Applicable,False
GOVERNED_PARAMETER,Governed Parameter,False
