control_id,subject,observed,expected,status,notes
SRC-124-HASH,Program 124 exact selected source SHA-256,8e8d9058255cbfd47462592452afc5f626747181272e66785c9b5d495910c3b3,8e8d9058255cbfd47462592452afc5f626747181272e66785c9b5d495910c3b3,PASS,
SRC-124-BYTE,Program 124 exact byte identity to historical selection,True,True,PASS,
SRC-125-HASH,Program 125 exact selected source SHA-256,54892d19182d18490182d51007bcaf21cfed3873b0ada0a610c2850d5da3f620,54892d19182d18490182d51007bcaf21cfed3873b0ada0a610c2850d5da3f620,PASS,
SRC-125-BYTE,Program 125 exact byte identity to historical selection,True,True,PASS,
SRC-126-HASH,Program 126 exact selected source SHA-256,16330dda3fd3f5301c4485de0a31f52fe3834cdb85059611c378aeaa696eb857,16330dda3fd3f5301c4485de0a31f52fe3834cdb85059611c378aeaa696eb857,PASS,
SRC-126-BYTE,Program 126 exact byte identity to historical selection,True,True,PASS,
SRC-128-HASH,Program 128 exact selected source SHA-256,f49f341b42fb379b53768a0b307903ee1e1f24e7dcebd52447b72ac3221b6579,f49f341b42fb379b53768a0b307903ee1e1f24e7dcebd52447b72ac3221b6579,PASS,
SRC-128-BYTE,Program 128 exact byte identity to historical selection,True,True,PASS,
SRC-130-HASH,Program 130 exact selected source SHA-256,9761bc547d613ae5627f8c412c234de8975cc30dcfc5c2be699be2c499c93175,9761bc547d613ae5627f8c412c234de8975cc30dcfc5c2be699be2c499c93175,PASS,
SRC-130-BYTE,Program 130 exact byte identity to historical selection,True,True,PASS,
SRC-131-HASH,Program 131 exact selected source SHA-256,435525e2579eea716a87e0ab426b40a6cd542c1b95db3cc56ee196ff2723b703,435525e2579eea716a87e0ab426b40a6cd542c1b95db3cc56ee196ff2723b703,PASS,
SRC-131-BYTE,Program 131 exact byte identity to historical selection,True,True,PASS,
LEX-124,Program 124 lexical balance,normal|0|0,normal|0|>=0,PASS,
TX-124-BEGIN,Program 124 BEGIN count,1,1,PASS,
TX-124-COMMIT,Program 124 COMMIT count,1,1,PASS,
META-124,Program 124 psql meta-command count,0,0,PASS,
LEX-125,Program 125 lexical balance,normal|0|0,normal|0|>=0,PASS,
TX-125-BEGIN,Program 125 BEGIN count,1,1,PASS,
TX-125-COMMIT,Program 125 COMMIT count,1,1,PASS,
META-125,Program 125 psql meta-command count,0,0,PASS,
LEX-126,Program 126 lexical balance,normal|0|0,normal|0|>=0,PASS,
TX-126-BEGIN,Program 126 BEGIN count,1,1,PASS,
TX-126-COMMIT,Program 126 COMMIT count,1,1,PASS,
META-126,Program 126 psql meta-command count,0,0,PASS,
LEX-127,Program 127 lexical balance,normal|0|0,normal|0|>=0,PASS,
TX-127-BEGIN,Program 127 BEGIN count,1,1,PASS,
TX-127-COMMIT,Program 127 COMMIT count,1,1,PASS,
META-127,Program 127 psql meta-command count,0,0,PASS,
LEX-128,Program 128 lexical balance,normal|0|0,normal|0|>=0,PASS,
TX-128-BEGIN,Program 128 BEGIN count,1,1,PASS,
TX-128-COMMIT,Program 128 COMMIT count,1,1,PASS,
META-128,Program 128 psql meta-command count,0,0,PASS,
LEX-129,Program 129 lexical balance,normal|0|0,normal|0|>=0,PASS,
TX-129-BEGIN,Program 129 BEGIN count,1,1,PASS,
TX-129-COMMIT,Program 129 COMMIT count,1,1,PASS,
META-129,Program 129 psql meta-command count,0,0,PASS,
LEX-130,Program 130 lexical balance,normal|0|0,normal|0|>=0,PASS,
TX-130-BEGIN,Program 130 BEGIN count,0,0,PASS,
TX-130-COMMIT,Program 130 COMMIT count,0,0,PASS,
META-130,Program 130 psql meta-command count,0,0,PASS,
LEX-131,Program 131 lexical balance,normal|0|0,normal|0|>=0,PASS,
TX-131-BEGIN,Program 131 BEGIN count,0,0,PASS,
TX-131-COMMIT,Program 131 COMMIT count,0,0,PASS,
META-131,Program 131 psql meta-command count,0,0,PASS,
P127-001,Program 127 unique positive control codes,128,128,PASS,
P127-002,Program 127 obsolete braced regex occurrences,0,0,PASS,
P127-003,Program 127 accepted policy character-length condition,1,1,PASS,
P127-004,Program 127 accepted policy byte-length condition,1,1,PASS,
P127-005,Program 127 lowercase hexadecimal domain condition,1,1,PASS,
P127-006,Program 127 deterministic policy-payload equality,3,3,PASS,
P127-007,Program 127 initial-boundary guard count,2,2,PASS,
P127-008,Program 127 exact run lifecycle guard,1,1,PASS,
P127-009,Program 127 exact bundle lifecycle guard,1,1,PASS,
P127-010,Program 127 prior positive evidence guard,1,1,PASS,
P127-011,Program 127 prior negative evidence guard,1,1,PASS,
P127-012,Program 127 prior acceptance evidence guard,1,1,PASS,
P127-013,Program 127 prior G2 gate-result guard,1,1,PASS,
P127-014,Program 127 guard precedes all persistent mutation,1560<66514,TRUE,PASS,
P127-015,Program 127 recovered base SHA-256,6bdfb68b7dbaf1909035f95559cd9c87ec0e71555c2500fa08fafc5b6bdcf599,6bdfb68b7dbaf1909035f95559cd9c87ec0e71555c2500fa08fafc5b6bdcf599,PASS,
P127-016,Program 127 clean-build source differs from historical base,True,True,PASS,
P129-001,Program 129 R6 base SHA-256,c5b77232daa1a80728d3982cfce1701c693e12e050ea4f86c29e21f47bdc0c0d,c5b77232daa1a80728d3982cfce1701c693e12e050ea4f86c29e21f47bdc0c0d,PASS,
P129-002,Program 129 R2 gate-definition source SHA-256,7e5933c8cfd9009550906bd010760ba936dc58a785c9206f96cdae3ae47438de,7e5933c8cfd9009550906bd010760ba936dc58a785c9206f96cdae3ae47438de,PASS,
P129-003,Program 129 gate-definition physical field,1,1,PASS,
P129-004,Program 129 gate-definition acceptance guard,1,1,PASS,
P129-005,Program 129 exactly-one-value staging constraint,1,1,PASS,
P129-006,Program 129 accepted combined-hash text value staging,1,1,PASS,
P129-007,Program 129 no two-value acceptance insert,0,0,PASS,
P129-008,Program 129 clean-build source differs from R6 base,True,True,PASS,
CHAIN-001,Normal SQL source files,8,8,PASS,
CHAIN-002,Normal program code order,"['124', '125', '126', '127', '128', '129', '130', '131']","['124', '125', '126', '127', '128', '129', '130', '131']",PASS,
CHAIN-003,Recovery-coded SQL in normal directory,0,0,PASS,
CHAIN-004,PostgreSQL executions,0,0,PASS,
CHAIN-005,Accepted repository modifications,0,0,PASS,
