"acquisition_campaign_id","accepted_partner_channel_id","budget_amount","spend_amount","incurred_ledger_amount","conditional_rate","reconciliation_difference"
ACQ_BANK_BRANCH_OUTREACH,CH_BANK_RELATIONSHIP,2805.00,2550.00,2550.00,0.00400000,0.00
ACQ_BANK_RM_ALWAYS_ON,CH_BANK_RELATIONSHIP,4042.50,3675.00,3675.00,0.00400000,0.00
ACQ_BANK_TREASURY_XSELL,CH_BANK_RELATIONSHIP,1567.50,1425.00,1425.00,0.00400000,0.00
ACQ_BROKER_DIRECT,CH_BROKER_NETWORK,550.00,500.00,500.00,0.04000000,0.00
ACQ_BROKER_ISO_EAST,CH_BROKER_NETWORK,4620.00,4200.00,4200.00,0.04000000,0.00
ACQ_BROKER_ISO_WEST,CH_BROKER_NETWORK,3960.00,3600.00,3600.00,0.04000000,0.00
ACQ_BROKER_PURCHASED_LEADS,CH_BROKER_NETWORK,2002.00,1820.00,1820.00,0.04000000,0.00
ACQ_DIGITAL_DIRECT_MAIL,CH_DIGITAL_DIRECT,252.45,229.50,229.50,0.00800000,0.00
ACQ_DIGITAL_DIRECT_NAV,CH_DIGITAL_DIRECT,3300.00,3000.00,3000.00,0.00800000,0.00
ACQ_DIGITAL_EMAIL_RETARGET,CH_DIGITAL_DIRECT,3960.00,3600.00,3600.00,0.00800000,0.00
ACQ_DIGITAL_ORGANIC_ALWAYS_ON,CH_DIGITAL_DIRECT,4620.00,4200.00,4200.00,0.00800000,0.00
ACQ_DIGITAL_PAID_SEARCH_BRAND,CH_DIGITAL_DIRECT,825.00,750.00,750.00,0.00800000,0.00
ACQ_DIGITAL_PAID_SEARCH_NONBRAND,CH_DIGITAL_DIRECT,962.50,875.00,875.00,0.00800000,0.00
ACQ_DIGITAL_PAID_SOCIAL,CH_DIGITAL_DIRECT,440.00,400.00,400.00,0.00800000,0.00
ACQ_PARTNER_ASSOCIATION,CH_STRATEGIC_PARTNER,2200.00,2000.00,2000.00,0.02000000,0.00
ACQ_PARTNER_MERCHANT_SERVICES,CH_STRATEGIC_PARTNER,4620.00,4200.00,4200.00,0.02000000,0.00
ACQ_PARTNER_SOFTWARE_PLATFORM,CH_STRATEGIC_PARTNER,5500.00,5000.00,5000.00,0.02000000,0.00
ACQ_PROC_AM_REFERRAL,CH_PROCESSOR_DIRECT,3712.50,3375.00,3375.00,0.00600000,0.00
ACQ_PROC_EMAIL_OUTREACH,CH_PROCESSOR_DIRECT,3960.00,3600.00,3600.00,0.00600000,0.00
ACQ_PROC_PORTAL_ALWAYS_ON,CH_PROCESSOR_DIRECT,4620.00,4200.00,4200.00,0.00600000,0.00
