order,file,purpose,required_result,path_type
1,sql/68_msbf_m1_10_schema_policy_extension_v0_2.sql,Schema and policy extension,schema_policy_extension_status = PASS,NORMAL
2,tests/69_msbf_m1_10_preflight_validation_v0_2.sql,Preflight,preflight_status = PASS,NORMAL
3,sql/70_msbf_m1_10_obligations_liquidity_capacity_generation_v0_2.sql,Generation,generation_status = PASS,NORMAL
4,sql/71_msbf_m1_10_obligations_liquidity_capacity_validation_v0_2.sql,Positive validation,70 / 70 PASS,NORMAL
5,sql/72_msbf_m1_10_negative_control_tests_v0_2.sql,Negative controls,6 / 6 PASS,NORMAL
6,sql/73_msbf_m1_10_acceptance_finalize_v0_2.sql,Acceptance finalizer,M1_10_ACCEPTED,NORMAL
7,tests/74_MSBF_M1_10_Obligations_Liquidity_Capacity_Master_Report_v0_2.sql,Master report,overall_m1_10_status = PASS,NORMAL
8,tests/75_MSBF_M1_10_Obligations_Liquidity_Capacity_Detail_Report_v0_2.sql,Detailed report,18 result sets,NORMAL
,tests/68A_msbf_m1_10_failed_generation_recovery_check_v0_2.sql,Failed-generation recovery,recovery_state_status = PASS,CONTINGENCY
,tests/70A_msbf_m1_10_generation_reconciliation_reconstructed_v0_2.sql,Lost-result reconstruction,generation_reconciliation_status = PASS,CONTINGENCY
