table_name,field_name,data_type,grain_role,business_definition,source_or_formula
application_verification_fraud_snapshot,module1_run_id,bigint,KEY,Run identity.,M1.8 persisted calculation
application_verification_fraud_snapshot,merchant_application_id,text,KEY,Application identity.,M1.8 persisted calculation
application_verification_fraud_snapshot,as_of_timestamp,timestamptz,ATTRIBUTE,Evidence as-of timestamp.,M1.8 persisted calculation
application_verification_fraud_snapshot,verification_source_snapshot_id,bigint,ATTRIBUTE,M1.7 verification source lineage.,M1.8 persisted calculation
application_verification_fraud_snapshot,pos_source_snapshot_id,bigint,ATTRIBUTE,M1.7 POS source lineage.,M1.8 persisted calculation
application_verification_fraud_snapshot,deposit_source_snapshot_id,bigint,ATTRIBUTE,M1.7 deposit source lineage.,M1.8 persisted calculation
application_verification_fraud_snapshot,verification_pass_count,smallint,ATTRIBUTE,Count of passing checks.,M1.8 persisted calculation
application_verification_fraud_snapshot,verification_review_count,smallint,ATTRIBUTE,Count of review checks.,M1.8 persisted calculation
application_verification_fraud_snapshot,verification_fail_count,smallint,ATTRIBUTE,Count of failed checks.,M1.8 persisted calculation
application_verification_fraud_snapshot,verification_unavailable_count,smallint,ATTRIBUTE,Count of unavailable checks.,M1.8 persisted calculation
application_verification_fraud_snapshot,critical_fail_count,smallint,ATTRIBUTE,Count of check-level hard stops.,M1.8 persisted calculation
application_verification_fraud_snapshot,fraud_score,"numeric(9,6)",ATTRIBUTE,Independent synthetic fraud score.,M1.8 persisted calculation
application_verification_fraud_snapshot,fraud_risk_tier,smallint,ATTRIBUTE,Fraud tier 1–5.,M1.8 persisted calculation
application_verification_fraud_snapshot,processor_continuity_status,text,ATTRIBUTE,Baseline continuity status.,M1.8 persisted calculation
application_verification_fraud_snapshot,processor_continuity_risk_tier,smallint,ATTRIBUTE,Baseline continuity tier 1–5.,M1.8 persisted calculation
application_verification_fraud_snapshot,stress_processor_continuity_status,text,ATTRIBUTE,Stress continuity status.,M1.8 persisted calculation
application_verification_fraud_snapshot,stress_processor_continuity_risk_tier,smallint,ATTRIBUTE,Stress continuity tier 1–5.,M1.8 persisted calculation
application_verification_fraud_snapshot,processor_active_day_rate,"numeric(9,6)",ATTRIBUTE,Baseline active-day share.,M1.8 persisted calculation
application_verification_fraud_snapshot,processor_degraded_day_rate,"numeric(9,6)",ATTRIBUTE,Baseline degraded-day share.,M1.8 persisted calculation
application_verification_fraud_snapshot,processor_outage_day_rate,"numeric(9,6)",ATTRIBUTE,Baseline outage-day share.,M1.8 persisted calculation
application_verification_fraud_snapshot,recent_processor_outage_day_rate,"numeric(9,6)",ATTRIBUTE,Recent baseline outage share.,M1.8 persisted calculation
application_verification_fraud_snapshot,data_connection_gap_day_rate,"numeric(9,6)",ATTRIBUTE,Baseline data-gap share.,M1.8 persisted calculation
application_verification_fraud_snapshot,stress_processor_degraded_day_rate,"numeric(9,6)",ATTRIBUTE,Stress degraded-day share.,M1.8 persisted calculation
application_verification_fraud_snapshot,stress_processor_outage_day_rate,"numeric(9,6)",ATTRIBUTE,Stress outage-day share.,M1.8 persisted calculation
application_verification_fraud_snapshot,stress_data_connection_gap_day_rate,"numeric(9,6)",ATTRIBUTE,Stress data-gap share.,M1.8 persisted calculation
application_verification_fraud_snapshot,continuity_stress_worsening_flag,boolean,ATTRIBUTE,Stress tier exceeds baseline tier.,M1.8 persisted calculation
application_verification_fraud_snapshot,hard_stop_recommended_flag,boolean,ATTRIBUTE,Synthetic stop recommendation.,M1.8 persisted calculation
application_verification_fraud_snapshot,manual_review_recommended_flag,boolean,ATTRIBUTE,Synthetic manual-review recommendation.,M1.8 persisted calculation
application_verification_fraud_snapshot,verification_disposition,text,ATTRIBUTE,"CLEAR, REVIEW, STOP, or INSUFFICIENT_EVIDENCE.",M1.8 persisted calculation
application_verification_fraud_snapshot,primary_reason_code,text,ATTRIBUTE,Primary transparent routing reason.,M1.8 persisted calculation
application_verification_fraud_snapshot,secondary_reason_codes,text[],ATTRIBUTE,Secondary transparent reasons.,M1.8 persisted calculation
application_verification_fraud_snapshot,fraud_reason_flags,jsonb,ATTRIBUTE,Independent fraud-reason flags.,M1.8 persisted calculation
application_verification_fraud_snapshot,row_hash,text,ATTRIBUTE,Canonical row hash.,M1.8 persisted calculation
application_verification_fraud_snapshot,created_by_run_id,bigint,ATTRIBUTE,Generation-run lineage.,M1.8 persisted calculation
application_verification_fraud_snapshot,created_at,timestamptz,ATTRIBUTE,Creation timestamp.,M1.8 persisted calculation
verification_result,manual_review_recommended_flag,boolean,ATTRIBUTE,Check-level manual-review recommendation.,M1.8 persisted calculation
verification_result,result_reason_code,text,ATTRIBUTE,Transparent check-level reason.,M1.8 persisted calculation
verification_result,row_hash,text,ATTRIBUTE,Canonical row hash.,M1.8 persisted calculation
