source_code,source_name,source_family,source_subtype,classification,accepted_partner_channel_id,accepted_channel_type,owner,vendor_partner_code,third_party_flag,priority,evidence_status
SRC_PROC_PORTAL,Processor Dashboard / Embedded Portal,PROCESSOR_EMBEDDED,PROCESSOR_DASHBOARD,PROCESSOR_EMBEDDED,CH_PROCESSOR_DIRECT,PROCESSOR_DIRECT,Processor Partnerships,VENDOR_PROCESSOR_01,True,1,COMPLETE
SRC_PROC_EMAIL,Processor Email / In-Product Outreach,PROCESSOR_EMBEDDED,PROCESSOR_EMAIL,PROCESSOR_EMBEDDED,CH_PROCESSOR_DIRECT,PROCESSOR_DIRECT,Processor Partnerships,VENDOR_PROCESSOR_01,True,2,COMPLETE
SRC_PROC_ACCOUNT_MANAGER,Processor Account-Manager Referral,PROCESSOR_EMBEDDED,PROCESSOR_ACCOUNT_MANAGER,PROCESSOR_EMBEDDED,CH_PROCESSOR_DIRECT,PROCESSOR_DIRECT,Processor Partnerships,VENDOR_PROCESSOR_01,True,3,PARTIAL
SRC_BANK_RELATIONSHIP_MANAGER,Relationship Manager,RELATIONSHIP,RELATIONSHIP_MANAGER,RELATIONSHIP,CH_BANK_RELATIONSHIP,BANK_RELATIONSHIP,Business Banking,INTERNAL_BANK,False,1,COMPLETE
SRC_BANK_BRANCH_BANKER,Branch / Business Banker,RELATIONSHIP,BRANCH_BANKER,RELATIONSHIP,CH_BANK_RELATIONSHIP,BANK_RELATIONSHIP,Business Banking,INTERNAL_BANK,False,2,PARTIAL
SRC_BANK_TREASURY_CROSS_SELL,Treasury / Merchant Services Cross-Sell,RELATIONSHIP,TREASURY_CROSS_SELL,RELATIONSHIP,CH_BANK_RELATIONSHIP,BANK_RELATIONSHIP,Treasury Management,INTERNAL_BANK,False,3,PARTIAL
SRC_DIGITAL_PAID_SEARCH,Paid Search,PAID,PAID_SEARCH,PAID,CH_DIGITAL_DIRECT,DIGITAL_DIRECT,Digital Acquisition,VENDOR_MEDIA_01,True,1,COMPLETE
SRC_DIGITAL_ORGANIC_SEARCH,Organic Search,ORGANIC,ORGANIC_SEARCH,ORGANIC,CH_DIGITAL_DIRECT,DIGITAL_DIRECT,Digital Acquisition,INTERNAL_DIGITAL,False,2,PARTIAL
SRC_DIGITAL_PAID_SOCIAL,Paid Social / Display,PAID,PAID_SOCIAL_DISPLAY,PAID,CH_DIGITAL_DIRECT,DIGITAL_DIRECT,Digital Acquisition,VENDOR_MEDIA_02,True,3,COMPLETE
SRC_DIGITAL_DIRECT_NAV,Bank Website / Direct Navigation,OWNED,DIRECT_NAVIGATION,OWNED,CH_DIGITAL_DIRECT,DIGITAL_DIRECT,Digital Acquisition,INTERNAL_DIGITAL,False,4,PARTIAL
SRC_DIGITAL_EMAIL_RETARGET,Email / Retargeting,OWNED,EMAIL_RETARGETING,OWNED,CH_DIGITAL_DIRECT,DIGITAL_DIRECT,Digital Acquisition,INTERNAL_DIGITAL,False,5,PARTIAL
SRC_DIGITAL_DIRECT_MAIL,Prospect Direct Mail / Outbound,PAID,DIRECT_MAIL_OUTBOUND,PAID,CH_DIGITAL_DIRECT,DIGITAL_DIRECT,Direct Marketing,VENDOR_MAIL_01,True,6,COMPLETE
SRC_PARTNER_SOFTWARE_PLATFORM,Software / Platform Referral,STRATEGIC_PARTNER,SOFTWARE_PLATFORM_REFERRAL,STRATEGIC_PARTNER,CH_STRATEGIC_PARTNER,STRATEGIC_PARTNER,Strategic Partnerships,VENDOR_PLATFORM_01,True,1,COMPLETE
SRC_PARTNER_ASSOCIATION,Association Referral,STRATEGIC_PARTNER,ASSOCIATION_REFERRAL,STRATEGIC_PARTNER,CH_STRATEGIC_PARTNER,STRATEGIC_PARTNER,Strategic Partnerships,VENDOR_ASSOC_01,True,2,PARTIAL
SRC_PARTNER_MERCHANT_SERVICES,Merchant-Services Partner Referral,STRATEGIC_PARTNER,MERCHANT_SERVICES_REFERRAL,STRATEGIC_PARTNER,CH_STRATEGIC_PARTNER,STRATEGIC_PARTNER,Strategic Partnerships,VENDOR_MSP_01,True,3,COMPLETE
SRC_BROKER_ISO,Broker / ISO Referral,BROKER_OR_LEAD,BROKER_ISO_REFERRAL,BROKER_OR_LEAD,CH_BROKER_NETWORK,BROKER_NETWORK,Broker Channel,VENDOR_BROKER_01,True,1,COMPLETE
SRC_BROKER_PURCHASED_LEAD,Purchased Lead,BROKER_OR_LEAD,PURCHASED_LEAD,BROKER_OR_LEAD,CH_BROKER_NETWORK,BROKER_NETWORK,Broker Channel,VENDOR_LEAD_01,True,2,PARTIAL
SRC_BROKER_DIRECT,Broker-Sourced Direct Application,BROKER_OR_LEAD,BROKER_DIRECT_APPLICATION,BROKER_OR_LEAD,CH_BROKER_NETWORK,BROKER_NETWORK,Broker Channel,VENDOR_BROKER_02,True,3,PARTIAL
