Schema,Table,Priority,Grain,Primary key,Principal foreign keys,Temporal key,Owner,Persistence
control,product_legal_structure_profile,P0,one structure/version/effective period,product_structure_profile_id,supersedes_profile_id,effective_start_date,Control plane,archive
control,operating_model_profile,P0,one entity-role model/version,operating_model_profile_id,supersedes_profile_id,effective_start_date,Control plane,archive
control,third_party_relationship_profile,P0,one provider/service/role/version/effective period,third_party_relationship_profile_id,operating_model_profile_id + supersedes_profile_id,effective_start_date,Control plane,archive
control,parameter_set,P0,one parameter set/version,parameter_set_id,supersedes_parameter_set_id,effective_start_date,Control plane,archive
control,parameter_value,P0,one parameter set/name/scope,parameter_set_id + parameter_name + scope_key,parameter_set_id,effective_start_date,Control plane,archive
control,policy_profile,P0,one policy/version/effective period,policy_profile_id,supersedes_policy_profile_id,effective_start_date,Control plane,archive
control,strategy_profile,P0,one strategy/version,strategy_profile_id,policy_profile_id,effective_start_date,Control plane,archive
control,experiment_registry,P0,one experiment/generation,experiment_id,strategy_profile_id,start_date,Control plane,archive
control,experiment_cell,P0,one experiment/cell,experiment_id + cell_id,experiment_id,start_date,Control plane,archive
control,scenario_registry,P0,one scenario/version,scenario_id,scenario_set_id,effective_start_date,Control plane,archive
control,risk_appetite_limit,P0,one limit/scope/version,limit_id,policy_profile_id,effective_start_date,Control plane,archive
control,jurisdiction_profile,P0,one jurisdiction/product/model/version,jurisdiction_profile_id,operating_model_profile_id + product_structure_profile_id,effective_start_date,Control plane,archive
control,regulatory_requirement,P0,one requirement/version,regulatory_requirement_id,source_reference_id,effective_start_date,Control plane,archive
control,regulatory_applicability_rule,P0,one requirement/rule version,requirement_id + rule_version,regulatory_requirement_id,effective_start_date,Control plane,archive
control,disclosure_template,P0,one template/version,disclosure_template_id,regulatory_requirement_id,effective_start_date,Control plane,archive
control,calculation_profile,P0,one calculation method/version,calculation_profile_id,regulatory_requirement_id,effective_start_date,Control plane,archive
control,license_registration_requirement,P0,one entity-role/jurisdiction/product/version,license_requirement_id,jurisdiction_profile_id,effective_start_date,Control plane,archive
control,reporting_requirement,P0,one reporting program/version,reporting_requirement_id,regulatory_requirement_id,effective_start_date,Control plane,archive
control,data_segregation_requirement,P0,one data-control profile/version,data_segregation_profile_id,reporting_requirement_id,effective_start_date,Control plane,archive
control,financial_crime_role_profile,P0,one operating model/version,financial_crime_profile_id,operating_model_profile_id,effective_start_date,Control plane,archive
control,payment_data_scope_profile,P0,one integration/version,payment_data_scope_id,operating_model_profile_id,effective_start_date,Control plane,archive
control,run_registry,P0,one technical module run,run_id,parent_run_id,run_as_of_date,Control plane,archive
control,comparison_registry,P0,one governed comparison,comparison_id,baseline_run_id + challenger_run_id,created_at,Control plane,archive
control,reason_code_catalog,P0,one reason/version,reason_code + version,policy_profile_id,effective_start_date,Control plane,archive
control,run_evidence,P0,one run/metric/gate,run_id + evidence_code + segment_key,run_id,created_at,Control plane,archive
control,acceptance_gate_result,P0,one run/gate/review,run_id + gate_id + review_version,run_id,reviewed_at,Control plane,archive
m1,merchant_master,P0,one merchant,merchant_id,,created_date,Module 1,master/archive
m1,merchant_owner_guarantor,P0,one merchant/person/role/effective period,merchant_id + party_id + role + effective_start,merchant_id,effective_start_date,Module 1,archive
m1,merchant_industry_assignment,P0,one merchant/industry/effective period,merchant_id + industry_id + effective_start,merchant_id,effective_start_date,Module 1,archive
m1,merchant_relationship_snapshot,P0,one merchant/as-of date,merchant_id + as_of_date,merchant_id,as_of_date,Module 1,archive
m1,partner_channel,P0,one partner/channel,partner_channel_id,,effective_start_date,Module 1,master/archive
m1,processor_account,P0,one merchant/processor account/effective period,processor_account_id,merchant_id + partner_channel_id,effective_start_date,Module 1,archive
m1,merchant_application,P0,one application,merchant_application_id,merchant_id + processor_account_id,application_date,Module 1,archive
m1,merchant_pos_daily_base,P0,one merchant/date,population_id + merchant_id + observation_date,merchant_id,observation_date,Module 1,base fact
m1,merchant_pos_daily_scenario,P0,one scenario/merchant/date,scenario_id + population_id + merchant_id + observation_date,merchant_id + scenario_id,observation_date,Module 1,archive fact
m1,merchant_deposit_daily_base,P0,one merchant/date,population_id + merchant_id + observation_date,merchant_id,observation_date,Module 1,base fact
m1,source_snapshot,P0,one application/source/as-of,merchant_application_id + source_code + as_of_date,merchant_application_id,as_of_date,Module 1,archive
m1,verification_result,P0,one application/check/version,merchant_application_id + check_code + check_version,merchant_application_id,checked_at,Module 1,archive
m1,merchant_feature_snapshot,P0,one M1 scenario/application,module1_run_id + merchant_application_id,merchant_application_id + run_id,as_of_date,Module 1,archive
m1,merchant_risk_snapshot,P0,one M1 scenario/application,module1_run_id + merchant_application_id,merchant_feature_snapshot,as_of_date,Module 1,archive
m1,risk_component_detail,P0,one M1 application/component,module1_run_id + merchant_application_id + component_code,merchant_risk_snapshot,as_of_date,Module 1,archive
m1,ead_path_snapshot,P0,one application/relative day,module1_run_id + merchant_application_id + relative_day,merchant_risk_snapshot,as_of_date,Module 1,archive
m2,experiment_assignment,P0,one application/experiment,merchant_application_id + experiment_id,merchant_application_id + experiment_id,assigned_at,Module 2,archive
m2,application_segment_snapshot,P0,one strategy/application,module2_run_id + merchant_application_id,merchant_risk_snapshot,as_of_date,Module 2,archive
m2,offer_candidate,P0,one strategy/application/candidate,module2_run_id + merchant_application_id + candidate_id,merchant_risk_snapshot,as_of_date,Module 2,archive
m2,candidate_collateral_requirement,P0,one candidate/collateral requirement,offer_candidate_key + collateral_requirement_id,offer_candidate,as_of_date,Module 2,archive
m2,candidate_covenant_requirement,P0,one candidate/covenant requirement,offer_candidate_key + covenant_requirement_id,offer_candidate,as_of_date,Module 2,archive
m2,candidate_risk_economics,P0,one offer candidate,offer_candidate_key,offer_candidate,as_of_date,Module 2,archive
