"accepted_partner_channel_id","primary_source_code","primary_campaign_id","applications","paid_media","direct_mail","purchased_leads","incentives","direct_attributable_total","avg_direct_attributable"
CH_BANK_RELATIONSHIP,SRC_BANK_BRANCH_BANKER,ACQ_BANK_BRANCH_OUTREACH,45,0.00,0.00,0.00,0.00,0.00,0.00000000000000000000
CH_BANK_RELATIONSHIP,SRC_BANK_RELATIONSHIP_MANAGER,ACQ_BANK_RM_ALWAYS_ON,65,0.00,0.00,0.00,0.00,0.00,0.00000000000000000000
CH_BANK_RELATIONSHIP,SRC_BANK_TREASURY_CROSS_SELL,ACQ_BANK_TREASURY_XSELL,25,0.00,0.00,0.00,0.00,0.00,0.00000000000000000000
CH_BROKER_NETWORK,SRC_BROKER_DIRECT,ACQ_BROKER_DIRECT,10,0.00,0.00,0.00,500.00,500.00,50.0000000000000000
CH_BROKER_NETWORK,SRC_BROKER_ISO,ACQ_BROKER_ISO_EAST,35,0.00,0.00,0.00,0.00,0.00,0.00000000000000000000
CH_BROKER_NETWORK,SRC_BROKER_ISO,ACQ_BROKER_ISO_WEST,25,0.00,0.00,0.00,0.00,0.00,0.00000000000000000000
CH_BROKER_NETWORK,SRC_BROKER_PURCHASED_LEAD,ACQ_BROKER_PURCHASED_LEADS,20,0.00,0.00,1820.00,0.00,1820.00,91.0000000000000000
CH_DIGITAL_DIRECT,SRC_DIGITAL_DIRECT_MAIL,ACQ_DIGITAL_DIRECT_MAIL,15,0.00,229.50,0.00,0.00,229.50,15.3000000000000000
CH_DIGITAL_DIRECT,SRC_DIGITAL_DIRECT_NAV,ACQ_DIGITAL_DIRECT_NAV,20,0.00,0.00,0.00,0.00,0.00,0.00000000000000000000
CH_DIGITAL_DIRECT,SRC_DIGITAL_EMAIL_RETARGET,ACQ_DIGITAL_EMAIL_RETARGET,15,0.00,0.00,0.00,0.00,0.00,0.00000000000000000000
CH_DIGITAL_DIRECT,SRC_DIGITAL_ORGANIC_SEARCH,ACQ_DIGITAL_ORGANIC_ALWAYS_ON,25,0.00,0.00,0.00,0.00,0.00,0.00000000000000000000
CH_DIGITAL_DIRECT,SRC_DIGITAL_PAID_SEARCH,ACQ_DIGITAL_PAID_SEARCH_BRAND,30,750.00,0.00,0.00,0.00,750.00,25.0000000000000000
CH_DIGITAL_DIRECT,SRC_DIGITAL_PAID_SEARCH,ACQ_DIGITAL_PAID_SEARCH_NONBRAND,25,875.00,0.00,0.00,0.00,875.00,35.0000000000000000
CH_DIGITAL_DIRECT,SRC_DIGITAL_PAID_SOCIAL,ACQ_DIGITAL_PAID_SOCIAL,20,400.00,0.00,0.00,0.00,400.00,20.0000000000000000
CH_PROCESSOR_DIRECT,SRC_PROC_ACCOUNT_MANAGER,ACQ_PROC_AM_REFERRAL,60,0.00,0.00,0.00,0.00,0.00,0.00000000000000000000
CH_PROCESSOR_DIRECT,SRC_PROC_EMAIL,ACQ_PROC_EMAIL_OUTREACH,90,0.00,0.00,0.00,0.00,0.00,0.00000000000000000000
CH_PROCESSOR_DIRECT,SRC_PROC_PORTAL,ACQ_PROC_PORTAL_ALWAYS_ON,105,0.00,0.00,0.00,0.00,0.00,0.00000000000000000000
CH_STRATEGIC_PARTNER,SRC_PARTNER_ASSOCIATION,ACQ_PARTNER_ASSOCIATION,40,0.00,0.00,0.00,2000.00,2000.00,50.0000000000000000
CH_STRATEGIC_PARTNER,SRC_PARTNER_MERCHANT_SERVICES,ACQ_PARTNER_MERCHANT_SERVICES,30,0.00,0.00,0.00,0.00,0.00,0.00000000000000000000
CH_STRATEGIC_PARTNER,SRC_PARTNER_SOFTWARE_PLATFORM,ACQ_PARTNER_SOFTWARE_PLATFORM,50,0.00,0.00,0.00,0.00,0.00,0.00000000000000000000
