parameter_name,data_type,value,unit_code,description,governance_effect
generation_enabled,BOOLEAN,true,FLAG,Generation Enabled.,Controls M1.10 generation or interpretation.
methodology_version,TEXT,M1_10_METHOD_V1,TEXT,Methodology Version.,Controls M1.10 generation or interpretation.
requested_burden_basis,TEXT,MAX_RATE_OR_HORIZON,TEXT,Requested Burden Basis.,Controls M1.10 generation or interpretation.
stress_capacity_tier_floor_to_baseline,BOOLEAN,true,FLAG,Stress Capacity Tier Floor To Baseline.,Controls M1.10 generation or interpretation.
max_obligations_per_application,NUMERIC,3,VALUE,Max Obligations Per Application.,Controls M1.10 generation or interpretation.
obligation_count_none_threshold,NUMERIC,0.3,VALUE,Obligation Count None Threshold.,Controls M1.10 generation or interpretation.
obligation_count_one_threshold,NUMERIC,0.7,VALUE,Obligation Count One Threshold.,Controls M1.10 generation or interpretation.
obligation_count_two_threshold,NUMERIC,0.92,VALUE,Obligation Count Two Threshold.,Controls M1.10 generation or interpretation.
minimum_obligation_count_with_prior_advance,NUMERIC,1,VALUE,Minimum Obligation Count With Prior Advance.,Controls M1.10 generation or interpretation.
monthly_days,NUMERIC,30,VALUE,Monthly Days.,Controls M1.10 generation or interpretation.
annualization_days,NUMERIC,365,VALUE,Annualization Days.,Controls M1.10 generation or interpretation.
liquidity_projection_days,NUMERIC,30,VALUE,Liquidity Projection Days.,Controls M1.10 generation or interpretation.
daily_sales_denominator_floor,NUMERIC,1.0,VALUE,Daily Sales Denominator Floor.,Controls M1.10 generation or interpretation.
coverage_tier_1_threshold,NUMERIC,1.5,VALUE,Coverage Tier 1 Threshold.,Controls M1.10 generation or interpretation.
coverage_tier_2_threshold,NUMERIC,1.25,VALUE,Coverage Tier 2 Threshold.,Controls M1.10 generation or interpretation.
coverage_tier_3_threshold,NUMERIC,1.0,VALUE,Coverage Tier 3 Threshold.,Controls M1.10 generation or interpretation.
burden_rate_tier_1_max,NUMERIC,0.15,VALUE,Burden Rate Tier 1 Max.,Controls M1.10 generation or interpretation.
burden_rate_tier_2_max,NUMERIC,0.22,VALUE,Burden Rate Tier 2 Max.,Controls M1.10 generation or interpretation.
burden_rate_tier_3_max,NUMERIC,0.3,VALUE,Burden Rate Tier 3 Max.,Controls M1.10 generation or interpretation.
buffer_days_tier_1_min,NUMERIC,30.0,VALUE,Buffer Days Tier 1 Min.,Controls M1.10 generation or interpretation.
buffer_days_tier_2_min,NUMERIC,15.0,VALUE,Buffer Days Tier 2 Min.,Controls M1.10 generation or interpretation.
buffer_days_tier_3_min,NUMERIC,5.0,VALUE,Buffer Days Tier 3 Min.,Controls M1.10 generation or interpretation.
stacking_review_threshold,NUMERIC,3,VALUE,Stacking Review Threshold.,Controls M1.10 generation or interpretation.
concentration_review_threshold,NUMERIC,0.75,VALUE,Concentration Review Threshold.,Controls M1.10 generation or interpretation.
obligation_confidence_complete_threshold,NUMERIC,0.9,VALUE,Obligation Confidence Complete Threshold.,Controls M1.10 generation or interpretation.
obligation_confidence_review_threshold,NUMERIC,0.75,VALUE,Obligation Confidence Review Threshold.,Controls M1.10 generation or interpretation.
industry_operating_cash_margin.RESTAURANT_FOOD_SERVICE,NUMERIC,0.15,RATE,industry_operating_cash_margin for RESTAURANT_FOOD_SERVICE.,Controls M1.10 deterministic capacity calculations.
industry_operating_cash_margin.GENERAL_RETAIL,NUMERIC,0.16,RATE,industry_operating_cash_margin for GENERAL_RETAIL.,Controls M1.10 deterministic capacity calculations.
industry_operating_cash_margin.PROFESSIONAL_SERVICES,NUMERIC,0.3,RATE,industry_operating_cash_margin for PROFESSIONAL_SERVICES.,Controls M1.10 deterministic capacity calculations.
industry_operating_cash_margin.CONSTRUCTION_TRADES,NUMERIC,0.18,RATE,industry_operating_cash_margin for CONSTRUCTION_TRADES.,Controls M1.10 deterministic capacity calculations.
industry_operating_cash_margin.TRANSPORTATION_LOGISTICS,NUMERIC,0.17,RATE,industry_operating_cash_margin for TRANSPORTATION_LOGISTICS.,Controls M1.10 deterministic capacity calculations.
industry_operating_cash_margin.ENERGY_SERVICES,NUMERIC,0.2,RATE,industry_operating_cash_margin for ENERGY_SERVICES.,Controls M1.10 deterministic capacity calculations.
industry_operating_cash_margin.HEALTHCARE_SERVICES,NUMERIC,0.24,RATE,industry_operating_cash_margin for HEALTHCARE_SERVICES.,Controls M1.10 deterministic capacity calculations.
industry_operating_cash_margin.ECOMMERCE_DIGITAL,NUMERIC,0.22,RATE,industry_operating_cash_margin for ECOMMERCE_DIGITAL.,Controls M1.10 deterministic capacity calculations.
type_balance_multiplier.SALES_BASED_ADVANCE,NUMERIC,0.65,RATE,type_balance_multiplier for SALES_BASED_ADVANCE.,Controls M1.10 deterministic capacity calculations.
type_balance_multiplier.TERM_LOAN,NUMERIC,0.85,RATE,type_balance_multiplier for TERM_LOAN.,Controls M1.10 deterministic capacity calculations.
type_balance_multiplier.LINE_OF_CREDIT,NUMERIC,0.45,RATE,type_balance_multiplier for LINE_OF_CREDIT.,Controls M1.10 deterministic capacity calculations.
type_balance_multiplier.EQUIPMENT_FINANCE,NUMERIC,0.75,RATE,type_balance_multiplier for EQUIPMENT_FINANCE.,Controls M1.10 deterministic capacity calculations.
type_balance_multiplier.BUSINESS_CREDIT_CARD,NUMERIC,0.25,RATE,type_balance_multiplier for BUSINESS_CREDIT_CARD.,Controls M1.10 deterministic capacity calculations.
type_balance_multiplier.LEASE,NUMERIC,0.35,RATE,type_balance_multiplier for LEASE.,Controls M1.10 deterministic capacity calculations.
type_finance_factor.SALES_BASED_ADVANCE,NUMERIC,1.2,RATE,type_finance_factor for SALES_BASED_ADVANCE.,Controls M1.10 deterministic capacity calculations.
type_finance_factor.TERM_LOAN,NUMERIC,1.12,RATE,type_finance_factor for TERM_LOAN.,Controls M1.10 deterministic capacity calculations.
type_finance_factor.LINE_OF_CREDIT,NUMERIC,1.15,RATE,type_finance_factor for LINE_OF_CREDIT.,Controls M1.10 deterministic capacity calculations.
type_finance_factor.EQUIPMENT_FINANCE,NUMERIC,1.1,RATE,type_finance_factor for EQUIPMENT_FINANCE.,Controls M1.10 deterministic capacity calculations.
type_finance_factor.BUSINESS_CREDIT_CARD,NUMERIC,1.18,RATE,type_finance_factor for BUSINESS_CREDIT_CARD.,Controls M1.10 deterministic capacity calculations.
type_finance_factor.LEASE,NUMERIC,1.08,RATE,type_finance_factor for LEASE.,Controls M1.10 deterministic capacity calculations.
type_term_days.SALES_BASED_ADVANCE,NUMERIC,90,VALUE,type_term_days for SALES_BASED_ADVANCE.,Controls M1.10 deterministic capacity calculations.
type_term_days.TERM_LOAN,NUMERIC,365,VALUE,type_term_days for TERM_LOAN.,Controls M1.10 deterministic capacity calculations.
type_term_days.LINE_OF_CREDIT,NUMERIC,180,VALUE,type_term_days for LINE_OF_CREDIT.,Controls M1.10 deterministic capacity calculations.
type_term_days.EQUIPMENT_FINANCE,NUMERIC,720,VALUE,type_term_days for EQUIPMENT_FINANCE.,Controls M1.10 deterministic capacity calculations.
type_term_days.BUSINESS_CREDIT_CARD,NUMERIC,365,VALUE,type_term_days for BUSINESS_CREDIT_CARD.,Controls M1.10 deterministic capacity calculations.
type_term_days.LEASE,NUMERIC,540,VALUE,type_term_days for LEASE.,Controls M1.10 deterministic capacity calculations.
