parameter_name,scope_key,governed_value,source
generation_enabled,GLOBAL,true,POLICY_PROFILE
methodology_version,GLOBAL,M1_13_METHOD_V1,POLICY_PROFILE
exposure_basis_code,GLOBAL,CONTRACTUAL_RECEIVABLE,POLICY_PROFILE
ead_method_code,GLOBAL,WEIGHTED_DAILY_BALANCE,POLICY_PROFILE
default_timing_basis_code,GLOBAL,EARLY_MIDDLE_LATE,POLICY_PROFILE
risk_proxy_basis_code,GLOBAL,SYNTHETIC_MERCHANT_RISK_PROXY,POLICY_PROFILE
stress_payment_cap_to_baseline,GLOBAL,true,POLICY_PROFILE
stress_ead_floor_to_baseline,GLOBAL,true,POLICY_PROFILE
stress_lgd_floor_to_baseline,GLOBAL,true,POLICY_PROFILE
stress_loss_floor_to_baseline,GLOBAL,true,POLICY_PROFILE
recovery_credit_cap_rate,GLOBAL,0.25,POLICY_PROFILE
stress_lgd_addon_base_rate,GLOBAL,0.08,POLICY_PROFILE
manual_review_lgd_threshold,GLOBAL,0.85,POLICY_PROFILE
manual_review_loss_rate_threshold,GLOBAL,0.15,POLICY_PROFILE
blocked_loss_behavior,GLOBAL,NULL_WITH_REVIEW,POLICY_PROFILE
industry_stress_multiplier,INDUSTRY:RESTAURANT_FOOD_SERVICE,0.6,POLICY_PROFILE
industry_stress_multiplier,INDUSTRY:GENERAL_RETAIL,0.5,POLICY_PROFILE
industry_stress_multiplier,INDUSTRY:PROFESSIONAL_SERVICES,0.3,POLICY_PROFILE
industry_stress_multiplier,INDUSTRY:CONSTRUCTION_TRADES,0.7,POLICY_PROFILE
industry_stress_multiplier,INDUSTRY:TRANSPORTATION_LOGISTICS,0.8,POLICY_PROFILE
industry_stress_multiplier,INDUSTRY:ENERGY_SERVICES,1.0,POLICY_PROFILE
industry_stress_multiplier,INDUSTRY:HEALTHCARE_SERVICES,0.2,POLICY_PROFILE
industry_stress_multiplier,INDUSTRY:ECOMMERCE_DIGITAL,0.4,POLICY_PROFILE
ead_method_code,GLOBAL,WEIGHTED_DAILY_BALANCE,RUN_PARAMETER_SNAPSHOT
default_timing_weight,PATH_DAY_BUCKET:EARLY,frozen run snapshot,RUN_PARAMETER_SNAPSHOT
default_timing_weight,PATH_DAY_BUCKET:MIDDLE,frozen run snapshot,RUN_PARAMETER_SNAPSHOT
default_timing_weight,PATH_DAY_BUCKET:LATE,frozen run snapshot,RUN_PARAMETER_SNAPSHOT
paydown_curve_shape,EXPECTED_PAYOFF_DAYS:30,frozen run snapshot,RUN_PARAMETER_SNAPSHOT
paydown_curve_shape,EXPECTED_PAYOFF_DAYS:60,frozen run snapshot,RUN_PARAMETER_SNAPSHOT
paydown_curve_shape,EXPECTED_PAYOFF_DAYS:90,frozen run snapshot,RUN_PARAMETER_SNAPSHOT
industry_lgd_baseline,INDUSTRY:*,8 frozen industry rows,RUN_PARAMETER_SNAPSHOT
collateral_availability_lgd_haircut,GLOBAL,frozen run snapshot,RUN_PARAMETER_SNAPSHOT
guarantee_availability_lgd_haircut,GLOBAL,frozen run snapshot,RUN_PARAMETER_SNAPSHOT
lgd_floor,GLOBAL,frozen run snapshot,RUN_PARAMETER_SNAPSHOT
lgd_cap,GLOBAL,frozen run snapshot,RUN_PARAMETER_SNAPSHOT
expected_loss_tolerance_amount,GLOBAL,frozen run snapshot,RUN_PARAMETER_SNAPSHOT
ead_weight_tolerance,GLOBAL,frozen run snapshot,RUN_PARAMETER_SNAPSHOT
simple_el_publish_flag,GLOBAL,frozen run snapshot,RUN_PARAMETER_SNAPSHOT
schedule_adjusted_el_publish_flag,GLOBAL,frozen run snapshot,RUN_PARAMETER_SNAPSHOT
