public_review_id,canonical_application_id,canonical_merchant_id,parent_acquisition_channel,cohort_membership_type,selection_rank,selection_reason,coverage_conditions,cohort_methodology_version,cohort_set_hash
MSBF-PRC-001,MSBF_POP_0001_M000383_A01,MSBF_POP_0001_M000383,CH_PROCESSOR_DIRECT,CHANNEL_BALANCED_CORE,1,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-002,MSBF_POP_0001_M000075_A01,MSBF_POP_0001_M000075,CH_PROCESSOR_DIRECT,CHANNEL_BALANCED_CORE,2,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-003,MSBF_POP_0001_M000191_A01,MSBF_POP_0001_M000191,CH_PROCESSOR_DIRECT,CHANNEL_BALANCED_CORE,3,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-004,MSBF_POP_0001_M000435_A01,MSBF_POP_0001_M000435,CH_PROCESSOR_DIRECT,CHANNEL_BALANCED_CORE,4,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-005,MSBF_POP_0001_M000063_A01,MSBF_POP_0001_M000063,CH_PROCESSOR_DIRECT,CHANNEL_BALANCED_CORE,5,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-006,MSBF_POP_0001_M000138_A01,MSBF_POP_0001_M000138,CH_PROCESSOR_DIRECT,CHANNEL_BALANCED_CORE,6,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-007,MSBF_POP_0001_M000376_A01,MSBF_POP_0001_M000376,CH_PROCESSOR_DIRECT,CHANNEL_BALANCED_CORE,7,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-008,MSBF_POP_0001_M000143_A01,MSBF_POP_0001_M000143,CH_PROCESSOR_DIRECT,CHANNEL_BALANCED_CORE,8,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-009,MSBF_POP_0001_M000496_A01,MSBF_POP_0001_M000496,CH_BANK_RELATIONSHIP,CHANNEL_BALANCED_CORE,9,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-010,MSBF_POP_0001_M000642_A01,MSBF_POP_0001_M000642,CH_BANK_RELATIONSHIP,CHANNEL_BALANCED_CORE,10,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
