reference_label,source_path,expected_sha256,actual_sha256,exists,status,purpose
PROGRAM_212,M2_11_WORK_PACKAGE_2_REVISION_4/sql/212_msbf_m2_11_schema_policy_definitions_contracts_triggers_views_v1.sql,7c85cbfd4ebd0765e5787b49a258573c4c030e09785bd64078e7828919ab227d,7c85cbfd4ebd0765e5787b49a258573c4c030e09785bd64078e7828919ab227d,YES,PASS,Current normal SQL
PROGRAM_213,M2_11_WORK_PACKAGE_2_REVISION_9/sql/213_msbf_m2_11_accepted_source_pristine_target_preflight_v1.sql,294d9839ab103fdb45a1429fc478cdf74c5a685350a203965a97674c3950afa1,294d9839ab103fdb45a1429fc478cdf74c5a685350a203965a97674c3950afa1,YES,PASS,Current normal SQL
PROGRAM_214,M2_11_WORK_PACKAGE_2_REVISION_8/sql/214_msbf_m2_11_deterministic_strategy_simulation_reconciliation_v1.sql,dad7d88684f18d3b7f72031a1b3d1c089aa9d3b03a4ac9c094ea6bb7b03c0d3f,dad7d88684f18d3b7f72031a1b3d1c089aa9d3b03a4ac9c094ea6bb7b03c0d3f,YES,PASS,Current normal SQL
PROGRAM_215,M2_11_WORK_PACKAGE_3_REVISION_4/sql/215_msbf_m2_11_positive_validation_v1.sql,33234130c102e3d2bd0e062b7e6d76bd91f3c726d3305b6ed657227cfb656bc1,33234130c102e3d2bd0e062b7e6d76bd91f3c726d3305b6ed657227cfb656bc1,YES,PASS,Current normal SQL
PROGRAM_216,M2_11_WORK_PACKAGE_3_REVISION_5/sql/216_msbf_m2_11_negative_controls_v1.sql,0e03d39427de41a6b60bc4fbcd8f272c4652ab7d28201a8e46a821a59a9ee74a,0e03d39427de41a6b60bc4fbcd8f272c4652ab7d28201a8e46a821a59a9ee74a,YES,PASS,Current normal SQL
PROGRAM_217,M2_11_WORK_PACKAGE_4_REVISION_3/sql/217_msbf_m2_11_acceptance_finalizer_v1.sql,dbd40464e8a157514abd2344becc58529f7f8e1bc7d703f9a03bcac5e7913f4f,dbd40464e8a157514abd2344becc58529f7f8e1bc7d703f9a03bcac5e7913f4f,YES,PASS,Current normal SQL
PROGRAM_218,M2_11_WORK_PACKAGE_4/sql/218_msbf_m2_11_master_report_v1.sql,27258bcdb923385a8212ea2995ba197c148cac00bfa43a010ecaa6d34931f0d6,27258bcdb923385a8212ea2995ba197c148cac00bfa43a010ecaa6d34931f0d6,YES,PASS,Current normal SQL
PROGRAM_219,M2_11_WORK_PACKAGE_4/sql/219_msbf_m2_11_detailed_report_v1.sql,3ff0e56c5f1c12eb257b7405bb7fd89924574a1236b80aa7739af688bfdadbf4,3ff0e56c5f1c12eb257b7405bb7fd89924574a1236b80aa7739af688bfdadbf4,YES,PASS,Current normal SQL
RECOVERY_212A,M2_11_WORK_PACKAGE_2_REVISION_1/recovery/212A_msbf_m2_11_failed_schema_policy_installation_recovery_v1.sql,c29176a1a9120ea676afecaeaa3b343b99bdc33ebed9bb58de21f5a16f1d1021,c29176a1a9120ea676afecaeaa3b343b99bdc33ebed9bb58de21f5a16f1d1021,YES,PASS,Current recovery SQL; not authorized
RECOVERY_214A,M2_11_WORK_PACKAGE_2_REVISION_1/recovery/214A_msbf_m2_11_failed_precommit_generation_rollback_recovery_v1.sql,f711c90ef67f6ad84c3995b408fb5a49f12b777b746836a7e5140c9f2e500140,f711c90ef67f6ad84c3995b408fb5a49f12b777b746836a7e5140c9f2e500140,YES,PASS,Current recovery SQL; not authorized
