schema_name,table_name,column_name,data_type,nullable,description
msbf_m1,application_verification_fraud_snapshot,module1_run_id,bigint,NO,Run identity.
msbf_m1,application_verification_fraud_snapshot,merchant_application_id,text,NO,Application identity.
msbf_m1,application_verification_fraud_snapshot,as_of_timestamp,timestamptz,NO,Evidence as-of timestamp.
msbf_m1,application_verification_fraud_snapshot,verification_source_snapshot_id,bigint,NO,M1.7 verification source lineage.
msbf_m1,application_verification_fraud_snapshot,pos_source_snapshot_id,bigint,NO,M1.7 POS source lineage.
msbf_m1,application_verification_fraud_snapshot,deposit_source_snapshot_id,bigint,NO,M1.7 deposit source lineage.
msbf_m1,application_verification_fraud_snapshot,verification_pass_count,smallint,NO,Count of passing checks.
msbf_m1,application_verification_fraud_snapshot,verification_review_count,smallint,NO,Count of review checks.
msbf_m1,application_verification_fraud_snapshot,verification_fail_count,smallint,NO,Count of failed checks.
msbf_m1,application_verification_fraud_snapshot,verification_unavailable_count,smallint,NO,Count of unavailable checks.
msbf_m1,application_verification_fraud_snapshot,critical_fail_count,smallint,NO,Count of check-level hard stops.
msbf_m1,application_verification_fraud_snapshot,fraud_score,"numeric(9,6)",NO,Independent synthetic fraud score.
msbf_m1,application_verification_fraud_snapshot,fraud_risk_tier,smallint,NO,Fraud tier 1–5.
msbf_m1,application_verification_fraud_snapshot,processor_continuity_status,text,NO,Baseline continuity status.
msbf_m1,application_verification_fraud_snapshot,processor_continuity_risk_tier,smallint,NO,Baseline continuity tier 1–5.
msbf_m1,application_verification_fraud_snapshot,stress_processor_continuity_status,text,NO,Stress continuity status.
msbf_m1,application_verification_fraud_snapshot,stress_processor_continuity_risk_tier,smallint,NO,Stress continuity tier 1–5.
msbf_m1,application_verification_fraud_snapshot,processor_active_day_rate,"numeric(9,6)",NO,Baseline active-day share.
msbf_m1,application_verification_fraud_snapshot,processor_degraded_day_rate,"numeric(9,6)",NO,Baseline degraded-day share.
msbf_m1,application_verification_fraud_snapshot,processor_outage_day_rate,"numeric(9,6)",NO,Baseline outage-day share.
msbf_m1,application_verification_fraud_snapshot,recent_processor_outage_day_rate,"numeric(9,6)",NO,Recent baseline outage share.
msbf_m1,application_verification_fraud_snapshot,data_connection_gap_day_rate,"numeric(9,6)",NO,Baseline data-gap share.
msbf_m1,application_verification_fraud_snapshot,stress_processor_degraded_day_rate,"numeric(9,6)",NO,Stress degraded-day share.
msbf_m1,application_verification_fraud_snapshot,stress_processor_outage_day_rate,"numeric(9,6)",NO,Stress outage-day share.
msbf_m1,application_verification_fraud_snapshot,stress_data_connection_gap_day_rate,"numeric(9,6)",NO,Stress data-gap share.
msbf_m1,application_verification_fraud_snapshot,continuity_stress_worsening_flag,boolean,NO,Stress tier exceeds baseline tier.
msbf_m1,application_verification_fraud_snapshot,hard_stop_recommended_flag,boolean,NO,Synthetic stop recommendation.
msbf_m1,application_verification_fraud_snapshot,manual_review_recommended_flag,boolean,NO,Synthetic manual-review recommendation.
msbf_m1,application_verification_fraud_snapshot,verification_disposition,text,NO,"CLEAR, REVIEW, STOP, or INSUFFICIENT_EVIDENCE."
msbf_m1,application_verification_fraud_snapshot,primary_reason_code,text,NO,Primary transparent routing reason.
msbf_m1,application_verification_fraud_snapshot,secondary_reason_codes,text[],NO,Secondary transparent reasons.
msbf_m1,application_verification_fraud_snapshot,fraud_reason_flags,jsonb,NO,Independent fraud-reason flags.
msbf_m1,application_verification_fraud_snapshot,row_hash,text,NO,Canonical row hash.
msbf_m1,application_verification_fraud_snapshot,created_by_run_id,bigint,NO,Generation-run lineage.
msbf_m1,application_verification_fraud_snapshot,created_at,timestamptz,NO,Creation timestamp.
msbf_m1,verification_result,manual_review_recommended_flag,boolean,NO,Check-level manual-review recommendation.
msbf_m1,verification_result,result_reason_code,text,NO,Transparent check-level reason.
msbf_m1,verification_result,row_hash,text,NO,Canonical verification-result row hash.
