execution_order,relative_path,execution_type,purpose,required_result
1,sql/92_msbf_m1_13_schema_policy_extension_v0_2.sql,NORMAL,Schema/policy extension,schema_policy_extension_status=PASS
2,tests/93_msbf_m1_13_preflight_validation_v0_2.sql,NORMAL,Preflight,preflight_status=PASS
3,sql/94_msbf_m1_13_exposure_recovery_loss_generation_v0_2.sql,NORMAL,Generation,generation_status=PASS
4,sql/95_msbf_m1_13_exposure_recovery_loss_validation_v0_2.sql,NORMAL,Positive validation,82/82 PASS
5,sql/96_msbf_m1_13_negative_control_tests_v0_2.sql,NORMAL,Negative controls,7/7 PASS
6,sql/97_msbf_m1_13_acceptance_finalize_v0_2.sql,NORMAL,Acceptance,M1_13_ACCEPTED
7,tests/98_MSBF_M1_13_Exposure_Recovery_Loss_Master_Report_v0_2.sql,NORMAL,Master report,overall_m1_13_status=PASS
8,tests/99_MSBF_M1_13_Exposure_Recovery_Loss_Detail_Report_v0_2.sql,NORMAL,Detail report,20 result sets
,tests/92A_msbf_m1_13_failed_generation_recovery_check_v0_2.sql,CONTINGENCY,Failed-generation recovery,recovery_state_status=PASS
,tests/94A_msbf_m1_13_generation_reconciliation_reconstructed_v0_2.sql,CONTINGENCY,Lost generation output,generation_reconciliation_status=PASS
