"merchant_application_id","touchpoint_count","first_timestamp","last_timestamp","first_flags","last_flags","primary_flags","attribution_weight_sum","future_touchpoint_flag"
MSBF_POP_0001_M000001_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000002_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000003_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000004_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000005_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000006_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000007_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000008_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000009_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000010_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000011_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000012_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000013_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000014_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000015_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000016_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000017_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000018_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000019_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000020_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000021_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000022_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000023_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000024_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000025_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000026_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000027_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000028_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000029_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000030_A01,3,2026-07-09 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000031_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000032_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000033_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000034_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000035_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000036_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000037_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000038_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000039_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000040_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000041_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000042_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000043_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000044_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000045_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000046_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000047_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000048_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000049_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000050_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000051_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000052_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000053_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000054_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000055_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000056_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000057_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000058_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000059_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000060_A01,3,2026-07-09 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000061_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000062_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000063_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000064_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000065_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000066_A01,2,2026-07-16 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000067_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
MSBF_POP_0001_M000068_A01,1,2026-07-23 09:00:00.000 -0400,2026-07-23 09:00:00.000 -0400,1,1,1,1.000000,false
