public_review_id,module1_run_id,scenario_id,scenario_code,merchant_application_id,population_id,merchant_id,as_of_date,industry_code,merchant_size_tier,relationship_stage,partner_channel_id,channel_type,source_confidence_score,data_confidence_tier,verification_disposition,fraud_risk_tier,processor_continuity_status,avg_daily_eligible_sales_30d,average_available_balance_30d,capacity_tier,affordability_status,archetype_code,operating_resilience_score,resilience_tier,integrated_risk_score,synthetic_merchant_risk_proxy,integrated_risk_tier,path_weighted_ead_amount,lgd_input_rate,schedule_adjusted_comparative_expected_loss_amount,risk_adjusted_contribution_amount,annualized_risk_adjusted_return_rate,economic_tier,economic_status,hard_stop_recommended_flag,manual_review_recommended_flag,m1_15_contract_evidence_status,m1_15_contract_row_hash,primary_source_code,primary_campaign_id,attribution_confidence_score,attribution_confidence_tier,touchpoint_count,assisted_touch_count,attribution_evidence_status,direct_attributable_incurred_cost_amount,internally_allocated_acquisition_cost_amount,total_incurred_pre_application_cost_amount,detailed_conditional_partner_broker_cost_amount,detailed_total_acquisition_cost_if_booked,accepted_m1_14_acquisition_cost_amount,identified_legacy_overlap_amount,unmapped_legacy_proxy_amount,incremental_acquisition_cost_beyond_m1_14,enhanced_total_acquisition_cost_if_booked,cost_evidence_status,overlap_evidence_status,acquisition_contract_evidence_status,m1_16_contract_row_hash
MSBF-PRC-041,1,5,BASELINE,MSBF_POP_0001_M000001_A01,MSBF_POP_0001,MSBF_POP_0001_M000001,2026-07-23,GENERAL_RETAIL,LOWER_MIDDLE,NEW,CH_DIGITAL_DIRECT,DIGITAL_DIRECT,0.947824,HIGH,REVIEW,1,DISRUPTED,,212601.35,5,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,,5,,,5,27096.11,0.66,,,,5,INSUFFICIENT_EVIDENCE,False,True,BLOCKED,58c559f65bdf7be17456a3cf195a7db4,SRC_DIGITAL_PAID_SEARCH,ACQ_DIGITAL_PAID_SEARCH_BRAND,0.95,HIGH,1,0,COMPLETE,25.0,0.0,25.0,312.0,337.0,702.0,327.0,375.0,10.0,712.0,COMPLETE,PARTIAL,PARTIAL,9d3b8e908aa2d71a2011cd2f8bfadd6c
MSBF-PRC-041,1,6,RECESSION_ENERGY,MSBF_POP_0001_M000001_A01,MSBF_POP_0001,MSBF_POP_0001_M000001,2026-07-23,GENERAL_RETAIL,LOWER_MIDDLE,NEW,CH_DIGITAL_DIRECT,DIGITAL_DIRECT,0.947824,HIGH,REVIEW,1,DISRUPTED,,125831.9,5,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,,5,,,5,27096.11,0.7,,,,5,INSUFFICIENT_EVIDENCE,False,True,BLOCKED,6383f25f53caa94c3525b7c68041cd36,SRC_DIGITAL_PAID_SEARCH,ACQ_DIGITAL_PAID_SEARCH_BRAND,0.95,HIGH,1,0,COMPLETE,25.0,0.0,25.0,312.0,337.0,702.0,327.0,375.0,10.0,712.0,COMPLETE,PARTIAL,PARTIAL,9d3b8e908aa2d71a2011cd2f8bfadd6c
MSBF-PRC-042,1,5,BASELINE,MSBF_POP_0001_M000002_A01,MSBF_POP_0001,MSBF_POP_0001_M000002,2026-07-23,RESTAURANT_FOOD_SERVICE,SMALL,NEW,CH_PROCESSOR_DIRECT,PROCESSOR_DIRECT,0.989407,HIGH,REVIEW,1,STABLE,1198.65,23533.33,3,MARGINAL,GROWING,87.72997,1,14.713745,0.14713745,1,3326.72,0.68,332.85,275.43,0.25777423,1,ABOVE_HURDLE,False,True,PARTIAL,396dca81642360fe18a1708d3f788eb1,SRC_PROC_PORTAL,ACQ_PROC_PORTAL_ALWAYS_ON,0.75,MEDIUM,1,0,PARTIAL,0.0,40.0,40.0,39.0,79.0,65.0,59.0,6.0,20.0,85.0,PARTIAL,PARTIAL,PARTIAL,d487e001de7d3bfc11d362c80fa6fbda
MSBF-PRC-042,1,6,RECESSION_ENERGY,MSBF_POP_0001_M000002_A01,MSBF_POP_0001,MSBF_POP_0001_M000002,2026-07-23,RESTAURANT_FOOD_SERVICE,SMALL,NEW,CH_PROCESSOR_DIRECT,PROCESSOR_DIRECT,0.989407,HIGH,REVIEW,1,STABLE,1023.09,10924.14,3,MARGINAL,STABLE,84.13626,1,16.508189,0.16508189,1,3824.28,0.728,459.6,139.84,0.1308759,3,BELOW_HURDLE,False,True,PARTIAL,d5c64c10421eb912ebd3d8308a62ced2,SRC_PROC_PORTAL,ACQ_PROC_PORTAL_ALWAYS_ON,0.75,MEDIUM,1,0,PARTIAL,0.0,40.0,40.0,39.0,79.0,65.0,59.0,6.0,20.0,85.0,PARTIAL,PARTIAL,PARTIAL,d487e001de7d3bfc11d362c80fa6fbda
MSBF-PRC-043,1,5,BASELINE,MSBF_POP_0001_M000003_A01,MSBF_POP_0001,MSBF_POP_0001_M000003,2026-07-23,HEALTHCARE_SERVICES,LOWER_MIDDLE,NEW,CH_DIGITAL_DIRECT,DIGITAL_DIRECT,0.985999,HIGH,CLEAR,1,MONITORED,4034.9,99340.75,4,UNAFFORDABLE,VOLATILE,75.113477,2,21.133311,0.21133311,2,38018.47,0.56,4499.35,2168.4,0.21518923,2,ABOVE_HURDLE,False,True,PARTIAL,5401ca79c6dc9d4dc525a3cef813bfaf,SRC_DIGITAL_PAID_SEARCH,ACQ_DIGITAL_PAID_SEARCH_BRAND,0.75,MEDIUM,2,1,PARTIAL,25.0,0.0,25.0,490.4,515.4,1103.4,505.4,598.0,10.0,1113.4,COMPLETE,PARTIAL,PARTIAL,3ddcfdab8b3a9b6314f424f7c8509b2f
MSBF-PRC-043,1,6,RECESSION_ENERGY,MSBF_POP_0001_M000003_A01,MSBF_POP_0001,MSBF_POP_0001_M000003,2026-07-23,HEALTHCARE_SERVICES,LOWER_MIDDLE,NEW,CH_DIGITAL_DIRECT,DIGITAL_DIRECT,0.985999,HIGH,CLEAR,1,MONITORED,,28625.26,5,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,,5,,,5,38018.47,0.576,,,,5,INSUFFICIENT_EVIDENCE,False,True,BLOCKED,316ba7878588fcdf4c1bee9382e1e762,SRC_DIGITAL_PAID_SEARCH,ACQ_DIGITAL_PAID_SEARCH_BRAND,0.75,MEDIUM,2,1,PARTIAL,25.0,0.0,25.0,490.4,515.4,1103.4,505.4,598.0,10.0,1113.4,COMPLETE,PARTIAL,PARTIAL,3ddcfdab8b3a9b6314f424f7c8509b2f
MSBF-PRC-044,1,5,BASELINE,MSBF_POP_0001_M000004_A01,MSBF_POP_0001,MSBF_POP_0001_M000004,2026-07-23,PROFESSIONAL_SERVICES,SMALL,NEW,CH_BANK_RELATIONSHIP,BANK_RELATIONSHIP,0.984462,HIGH,CLEAR,1,STABLE,421.62,14467.6,4,UNAFFORDABLE,STABLE,70.21649,2,26.897472,0.26897472,2,4893.69,0.58,763.44,184.19,0.26057888,1,ABOVE_HURDLE,False,True,PARTIAL,ab323c59a76cae16357122623b0b33b3,SRC_BANK_RELATIONSHIP_MANAGER,ACQ_BANK_RM_ALWAYS_ON,0.75,MEDIUM,1,0,PARTIAL,0.0,56.54,56.54,34.4,90.94,64.5,64.5,0.0,26.44,90.94,PARTIAL,PARTIAL,PARTIAL,5396244d150a895d65d4d0b205291ac2
MSBF-PRC-044,1,6,RECESSION_ENERGY,MSBF_POP_0001_M000004_A01,MSBF_POP_0001,MSBF_POP_0001_M000004,2026-07-23,PROFESSIONAL_SERVICES,SMALL,NEW,CH_BANK_RELATIONSHIP,BANK_RELATIONSHIP,0.984462,HIGH,CLEAR,1,STABLE,,8857.39,5,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,,5,,,5,4893.69,0.604,,,,5,INSUFFICIENT_EVIDENCE,False,True,BLOCKED,aec31438d9102e68e768a0ac6c9bb322,SRC_BANK_RELATIONSHIP_MANAGER,ACQ_BANK_RM_ALWAYS_ON,0.75,MEDIUM,1,0,PARTIAL,0.0,56.54,56.54,34.4,90.94,64.5,64.5,0.0,26.44,90.94,PARTIAL,PARTIAL,PARTIAL,5396244d150a895d65d4d0b205291ac2
MSBF-PRC-045,1,5,BASELINE,MSBF_POP_0001_M000005_A01,MSBF_POP_0001,MSBF_POP_0001_M000005,2026-07-23,TRANSPORTATION_LOGISTICS,MIDDLE,RETURNING_GOOD,CH_DIGITAL_DIRECT,DIGITAL_DIRECT,0.985976,HIGH,CLEAR,1,STABLE,23650.84,736293.3,4,UNAFFORDABLE,STABLE,77.465457,2,22.739251,0.22739251,2,91878.57,0.74,15460.45,2242.98,0.0909653,4,BELOW_HURDLE,False,True,PARTIAL,75ce794f2b90052f78bb805b26e4d6de,SRC_DIGITAL_PAID_SEARCH,ACQ_DIGITAL_PAID_SEARCH_BRAND,0.95,HIGH,1,0,COMPLETE,25.0,0.0,25.0,1200.0,1225.0,2700.0,1215.0,1485.0,10.0,2710.0,COMPLETE,PARTIAL,PARTIAL,cebef1bbcbad56f58a0f738b035d1d50
MSBF-PRC-045,1,6,RECESSION_ENERGY,MSBF_POP_0001_M000005_A01,MSBF_POP_0001,MSBF_POP_0001_M000005,2026-07-23,TRANSPORTATION_LOGISTICS,MIDDLE,RETURNING_GOOD,CH_DIGITAL_DIRECT,DIGITAL_DIRECT,0.985976,HIGH,CLEAR,1,STABLE,,336086.44,5,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,,5,,,5,93602.76,0.804,,,,5,INSUFFICIENT_EVIDENCE,False,True,BLOCKED,a5d7f72f5aea44a291c9ae8ade7dac1b,SRC_DIGITAL_PAID_SEARCH,ACQ_DIGITAL_PAID_SEARCH_BRAND,0.95,HIGH,1,0,COMPLETE,25.0,0.0,25.0,1200.0,1225.0,2700.0,1215.0,1485.0,10.0,2710.0,COMPLETE,PARTIAL,PARTIAL,cebef1bbcbad56f58a0f738b035d1d50
