table_name,column_name,description
application_integrated_risk_proxy_snapshot,module1_run_id,Module1 Run Id
application_integrated_risk_proxy_snapshot,scenario_id,Scenario Id
application_integrated_risk_proxy_snapshot,merchant_application_id,Merchant Application Id
application_integrated_risk_proxy_snapshot,population_id,Population Id
application_integrated_risk_proxy_snapshot,merchant_id,Merchant Id
application_integrated_risk_proxy_snapshot,as_of_date,As Of Date
application_integrated_risk_proxy_snapshot,merchant_size_tier,Merchant Size Tier
application_integrated_risk_proxy_snapshot,industry_code,Industry Code
application_integrated_risk_proxy_snapshot,relationship_stage,Relationship Stage
application_integrated_risk_proxy_snapshot,operating_resilience_snapshot_hash,Operating Resilience Snapshot Hash
application_integrated_risk_proxy_snapshot,liquidity_capacity_snapshot_hash,Liquidity Capacity Snapshot Hash
application_integrated_risk_proxy_snapshot,verification_fraud_snapshot_hash,Verification Fraud Snapshot Hash
application_integrated_risk_proxy_snapshot,operating_resilience_evidence_status,Operating Resilience Evidence Status
application_integrated_risk_proxy_snapshot,capacity_evidence_status,Capacity Evidence Status
application_integrated_risk_proxy_snapshot,data_confidence_tier,Data Confidence Tier
application_integrated_risk_proxy_snapshot,verification_disposition,Verification Disposition
application_integrated_risk_proxy_snapshot,fraud_risk_tier,Fraud Risk Tier
application_integrated_risk_proxy_snapshot,processor_continuity_risk_tier,Processor Continuity Risk Tier
application_integrated_risk_proxy_snapshot,operating_resilience_tier,Operating Resilience Tier
application_integrated_risk_proxy_snapshot,capacity_tier,Capacity Tier
application_integrated_risk_proxy_snapshot,archetype_code,Archetype Code
application_integrated_risk_proxy_snapshot,archetype_risk_rank,Archetype Risk Rank
application_integrated_risk_proxy_snapshot,operating_resilience_risk_score,Operating Resilience Risk Score
application_integrated_risk_proxy_snapshot,capacity_burden_risk_score,Capacity Burden Risk Score
application_integrated_risk_proxy_snapshot,liquidity_risk_score,Liquidity Risk Score
application_integrated_risk_proxy_snapshot,source_confidence_risk_score,Source Confidence Risk Score
application_integrated_risk_proxy_snapshot,verification_fraud_risk_score,Verification Fraud Risk Score
application_integrated_risk_proxy_snapshot,processor_continuity_risk_score,Processor Continuity Risk Score
application_integrated_risk_proxy_snapshot,industry_relationship_risk_score,Industry Relationship Risk Score
application_integrated_risk_proxy_snapshot,independent_integrated_risk_score,Independent Integrated Risk Score
application_integrated_risk_proxy_snapshot,baseline_integrated_risk_score,Baseline Integrated Risk Score
application_integrated_risk_proxy_snapshot,integrated_risk_score,Integrated Risk Score
application_integrated_risk_proxy_snapshot,synthetic_merchant_risk_proxy,Synthetic Merchant Risk Proxy
application_integrated_risk_proxy_snapshot,independent_risk_tier,Independent Risk Tier
application_integrated_risk_proxy_snapshot,baseline_risk_tier,Baseline Risk Tier
application_integrated_risk_proxy_snapshot,integrated_risk_tier,Integrated Risk Tier
application_integrated_risk_proxy_snapshot,stress_risk_worsening_flag,Stress Risk Worsening Flag
application_integrated_risk_proxy_snapshot,integrated_risk_status,Integrated Risk Status
application_integrated_risk_proxy_snapshot,integrated_risk_evidence_status,Integrated Risk Evidence Status
application_integrated_risk_proxy_snapshot,risk_floor_applied_flag,Risk Floor Applied Flag
application_integrated_risk_proxy_snapshot,hard_stop_recommended_flag,Hard Stop Recommended Flag
application_integrated_risk_proxy_snapshot,manual_review_recommended_flag,Manual Review Recommended Flag
application_integrated_risk_proxy_snapshot,fallback_path_code,Fallback Path Code
application_integrated_risk_proxy_snapshot,primary_risk_reason_code,Primary Risk Reason Code
application_integrated_risk_proxy_snapshot,secondary_risk_reason_codes,Secondary Risk Reason Codes
application_integrated_risk_proxy_snapshot,row_hash,Row Hash
application_integrated_risk_proxy_snapshot,created_by_run_id,Created By Run Id
application_integrated_risk_proxy_snapshot,created_at,Created At
integrated_risk_component_value,module1_run_id,Module1 Run Id
integrated_risk_component_value,scenario_id,Scenario Id
integrated_risk_component_value,merchant_application_id,Merchant Application Id
integrated_risk_component_value,component_code,Component Code
integrated_risk_component_value,component_version,Component Version
integrated_risk_component_value,component_source_value,Component Source Value
integrated_risk_component_value,component_risk_score,Component Risk Score
integrated_risk_component_value,component_weight,Component Weight
integrated_risk_component_value,weighted_risk_points,Weighted Risk Points
integrated_risk_component_value,component_zone,Component Zone
integrated_risk_component_value,component_status,Component Status
integrated_risk_component_value,directional_status,Directional Status
integrated_risk_component_value,component_reason_code,Component Reason Code
integrated_risk_component_value,source_lineage_hash,Source Lineage Hash
integrated_risk_component_value,calculation_hash,Calculation Hash
integrated_risk_component_value,created_by_run_id,Created By Run Id
integrated_risk_component_value,created_at,Created At
