"acquisition_campaign_id","accepted_partner_channel_id","campaign_name_synthetic","stage_code","stage_order","stage_count","conversion_rate_from_prior","applicability_status","evidence_status"
ACQ_BANK_BRANCH_OUTREACH,CH_BANK_RELATIONSHIP,Branch Business Banker Outreach,TARGETED_OR_ELIGIBLE,1,158,,APPLICABLE,PARTIAL
ACQ_BANK_BRANCH_OUTREACH,CH_BANK_RELATIONSHIP,Branch Business Banker Outreach,DELIVERED_OR_PRESENTED,2,135,0.85443038,APPLICABLE,PARTIAL
ACQ_BANK_BRANCH_OUTREACH,CH_BANK_RELATIONSHIP,Branch Business Banker Outreach,ENGAGED_OR_RESPONDED,3,90,0.66666667,APPLICABLE,PARTIAL
ACQ_BANK_BRANCH_OUTREACH,CH_BANK_RELATIONSHIP,Branch Business Banker Outreach,QUALIFIED_LEAD,4,63,0.70000000,APPLICABLE,PARTIAL
ACQ_BANK_BRANCH_OUTREACH,CH_BANK_RELATIONSHIP,Branch Business Banker Outreach,APPLICATION_STARTED,5,51,0.80952381,APPLICABLE,PARTIAL
ACQ_BANK_BRANCH_OUTREACH,CH_BANK_RELATIONSHIP,Branch Business Banker Outreach,APPLICATION_SUBMITTED,6,45,0.88235294,APPLICABLE,PARTIAL
ACQ_BANK_RM_ALWAYS_ON,CH_BANK_RELATIONSHIP,Relationship Manager Always-On,TARGETED_OR_ELIGIBLE,1,228,,APPLICABLE,PARTIAL
ACQ_BANK_RM_ALWAYS_ON,CH_BANK_RELATIONSHIP,Relationship Manager Always-On,DELIVERED_OR_PRESENTED,2,195,0.85526316,APPLICABLE,PARTIAL
ACQ_BANK_RM_ALWAYS_ON,CH_BANK_RELATIONSHIP,Relationship Manager Always-On,ENGAGED_OR_RESPONDED,3,130,0.66666667,APPLICABLE,PARTIAL
ACQ_BANK_RM_ALWAYS_ON,CH_BANK_RELATIONSHIP,Relationship Manager Always-On,QUALIFIED_LEAD,4,91,0.70000000,APPLICABLE,PARTIAL
ACQ_BANK_RM_ALWAYS_ON,CH_BANK_RELATIONSHIP,Relationship Manager Always-On,APPLICATION_STARTED,5,73,0.80219780,APPLICABLE,PARTIAL
ACQ_BANK_RM_ALWAYS_ON,CH_BANK_RELATIONSHIP,Relationship Manager Always-On,APPLICATION_SUBMITTED,6,65,0.89041096,APPLICABLE,PARTIAL
ACQ_BANK_TREASURY_XSELL,CH_BANK_RELATIONSHIP,Treasury and Merchant Services Cross-Sell,TARGETED_OR_ELIGIBLE,1,88,,APPLICABLE,PARTIAL
ACQ_BANK_TREASURY_XSELL,CH_BANK_RELATIONSHIP,Treasury and Merchant Services Cross-Sell,DELIVERED_OR_PRESENTED,2,75,0.85227273,APPLICABLE,PARTIAL
ACQ_BANK_TREASURY_XSELL,CH_BANK_RELATIONSHIP,Treasury and Merchant Services Cross-Sell,ENGAGED_OR_RESPONDED,3,50,0.66666667,APPLICABLE,PARTIAL
ACQ_BANK_TREASURY_XSELL,CH_BANK_RELATIONSHIP,Treasury and Merchant Services Cross-Sell,QUALIFIED_LEAD,4,35,0.70000000,APPLICABLE,PARTIAL
ACQ_BANK_TREASURY_XSELL,CH_BANK_RELATIONSHIP,Treasury and Merchant Services Cross-Sell,APPLICATION_STARTED,5,28,0.80000000,APPLICABLE,PARTIAL
ACQ_BANK_TREASURY_XSELL,CH_BANK_RELATIONSHIP,Treasury and Merchant Services Cross-Sell,APPLICATION_SUBMITTED,6,25,0.89285714,APPLICABLE,PARTIAL
ACQ_BROKER_DIRECT,CH_BROKER_NETWORK,Broker-Sourced Direct Application,TARGETED_OR_ELIGIBLE,1,40,,APPLICABLE,COMPLETE
ACQ_BROKER_DIRECT,CH_BROKER_NETWORK,Broker-Sourced Direct Application,DELIVERED_OR_PRESENTED,2,35,0.87500000,APPLICABLE,COMPLETE
