"accepted_partner_channel_id","legacy_m1_14_cost_scope_code","overlap_evidence_status","acquisition_contract_evidence_status","applications","legacy_cost","mapped_detailed","identified_overlap","unmapped_legacy","incremental_beyond_m1_14","enhanced_total_if_booked"
CH_BANK_RELATIONSHIP,RELATIONSHIP_ACQUISITION_PROXY,PARTIAL,BLOCKED,3,173.25,262.15,,,,
CH_BANK_RELATIONSHIP,RELATIONSHIP_ACQUISITION_PROXY,BLOCKED,BLOCKED,4,378.00,428.59,,,,
CH_BANK_RELATIONSHIP,RELATIONSHIP_ACQUISITION_PROXY,PARTIAL,PARTIAL,128,28189.50,22287.66,19375.77,8813.73,2911.89,31101.39
CH_BROKER_NETWORK,BROKER_ACQUISITION_PROXY,PARTIAL,BLOCKED,1,918.00,960.00,,,,
CH_BROKER_NETWORK,BROKER_ACQUISITION_PROXY,BLOCKED,BLOCKED,2,2394.00,2368.00,,,,
CH_BROKER_NETWORK,BROKER_ACQUISITION_PROXY,PARTIAL,PARTIAL,77,67923.00,69612.00,63426.50,4496.50,6185.50,74108.50
CH_BROKER_NETWORK,BROKER_ACQUISITION_PROXY,COMPLETE,PARTIAL,10,12145.50,10796.00,10796.00,1349.50,500.00,12645.50
CH_DIGITAL_DIRECT,DIGITAL_ACQUISITION_PROXY,BLOCKED,BLOCKED,2,1575.00,868.00,,,,
CH_DIGITAL_DIRECT,DIGITAL_ACQUISITION_PROXY,COMPLETE,COMPLETE,9,1463.40,650.40,650.40,813.00,137.70,1601.10
CH_DIGITAL_DIRECT,DIGITAL_ACQUISITION_PROXY,PARTIAL,PARTIAL,134,63232.20,40760.20,33558.20,29674.00,7202.00,70434.20
CH_DIGITAL_DIRECT,DIGITAL_ACQUISITION_PROXY,COMPLETE,PARTIAL,5,4122.00,1832.00,1832.00,2290.00,76.50,4198.50
CH_PROCESSOR_DIRECT,PROCESSOR_CHANNEL_COST_PROXY,PARTIAL,BLOCKED,10,2093.00,1720.80,,,,
CH_PROCESSOR_DIRECT,PROCESSOR_CHANNEL_COST_PROXY,PARTIAL,PARTIAL,245,67185.00,51021.00,44008.36,23176.64,7012.64,74197.64
CH_STRATEGIC_PARTNER,STRATEGIC_PARTNER_COST_PROXY,BLOCKED,BLOCKED,4,4627.50,3902.00,,,,
CH_STRATEGIC_PARTNER,STRATEGIC_PARTNER_COST_PROXY,PARTIAL,BLOCKED,1,155.00,224.00,,,,
CH_STRATEGIC_PARTNER,STRATEGIC_PARTNER_COST_PROXY,PARTIAL,PARTIAL,77,43220.00,43476.00,37814.50,5405.50,5661.50,48881.50
CH_STRATEGIC_PARTNER,STRATEGIC_PARTNER_COST_PROXY,COMPLETE,PARTIAL,38,16040.00,12832.00,12832.00,3208.00,1900.00,17940.00
