"evidence_code","metric_name","status","interpretation"
M2_7_NEG_001_POLICY_STATUS,M2_7_NEG_001_POLICY_STATUS,PASS,"new row for relation ""m2_7_policy_profile"" violates check constraint ""ck_m2_7_policy_status"""
M2_7_NEG_002_SIMULATED_SETUP_BOUNDARY,M2_7_NEG_002_SIMULATED_SETUP_BOUNDARY,PASS,"new row for relation ""m2_7_policy_profile"" violates check constraint ""ck_m2_7_policy_boundaries"""
M2_7_NEG_003_REAL_ACCOUNT_BOUNDARY,M2_7_NEG_003_REAL_ACCOUNT_BOUNDARY,PASS,"new row for relation ""m2_7_policy_profile"" violates check constraint ""ck_m2_7_policy_boundaries"""
M2_7_NEG_004_PAYMENT_CHANGE_BOUNDARY,M2_7_NEG_004_PAYMENT_CHANGE_BOUNDARY,PASS,"new row for relation ""m2_7_policy_profile"" violates check constraint ""ck_m2_7_policy_boundaries"""
M2_7_NEG_005_BANK_DATA_BOUNDARY,M2_7_NEG_005_BANK_DATA_BOUNDARY,PASS,"new row for relation ""m2_7_policy_profile"" violates check constraint ""ck_m2_7_policy_boundaries"""
M2_7_NEG_006_ACH_NETWORK_BOUNDARY,M2_7_NEG_006_ACH_NETWORK_BOUNDARY,PASS,"new row for relation ""m2_7_policy_profile"" violates check constraint ""ck_m2_7_policy_boundaries"""
M2_7_NEG_007_EXTERNAL_NOTICE_BOUNDARY,M2_7_NEG_007_EXTERNAL_NOTICE_BOUNDARY,PASS,"new row for relation ""m2_7_policy_profile"" violates check constraint ""ck_m2_7_policy_boundaries"""
M2_7_NEG_008_OUTCOME_EXECUTION_FLAG,M2_7_NEG_008_OUTCOME_EXECUTION_FLAG,PASS,"new row for relation ""_m2_7_neg_outcome"" violates check constraint ""_m2_7_neg_outcome_check"""
M2_7_NEG_009_ACTION_EXECUTION_FLAG,M2_7_NEG_009_ACTION_EXECUTION_FLAG,PASS,"new row for relation ""_m2_7_neg_action"" violates check constraint ""_m2_7_neg_action_check"""
M2_7_NEG_010_DUPLICATE_ACTIVATION_GRAIN,M2_7_NEG_010_DUPLICATE_ACTIVATION_GRAIN,PASS,"duplicate key value violates unique constraint ""_m2_7_neg_grain_pkey"""
M2_7_NEG_011_READY_SETUP_WITHOUT_PLAN,M2_7_NEG_011_READY_SETUP_WITHOUT_PLAN,PASS,"new row for relation ""_m2_7_neg_setup"" violates check constraint ""_m2_7_neg_setup_check"""
M2_7_NEG_012_NO_SETUP_WITH_PLAN,M2_7_NEG_012_NO_SETUP_WITH_PLAN,PASS,"new row for relation ""_m2_7_neg_setup"" violates check constraint ""_m2_7_neg_setup_check"""
M2_7_NEG_013_INVALID_TEMPORARY_FACTOR,M2_7_NEG_013_INVALID_TEMPORARY_FACTOR,PASS,"new row for relation ""_m2_7_neg_factor"" violates check constraint ""_m2_7_neg_factor_temporary_payment_factor_check"""
M2_7_NEG_014_ARCHIVE_UPDATE,M2_7_NEG_014_ARCHIVE_UPDATE,PASS,M2.7 operational activation archive is immutable; UPDATE is not permitted.
M2_7_NEG_015_ARCHIVE_DELETE,M2_7_NEG_015_ARCHIVE_DELETE,PASS,M2.7 operational activation archive is immutable; DELETE is not permitted.
M2_7_NEG_016_POST_GENERATION_RERUN,M2_7_NEG_016_POST_GENERATION_RERUN,PASS,M2.7 generation requires M2_6_ACCEPTED; observed M2_7_VALIDATED.
M2_7_NEG_017_PREMATURE_ACCEPTANCE,M2_7_NEG_017_PREMATURE_ACCEPTANCE,PASS,"M2.7 acceptance not ready: run M2_7_VALIDATED, contract VALIDATED, positive 120, negative 0."
M2_7_NEG_018_SOURCE_HASH_DRIFT,M2_7_NEG_018_SOURCE_HASH_DRIFT,PASS,M2.7 configuration assertion failed for run_id 1.
M2_7_NEG_019_BANK_ACH_PAYLOAD,M2_7_NEG_019_BANK_ACH_PAYLOAD,PASS,M2.7 rejected prohibited operational payload key routing_number.
M2_7_NEG_020_EXECUTED_ACTION_NOTICE_PAYLOAD,M2_7_NEG_020_EXECUTED_ACTION_NOTICE_PAYLOAD,PASS,M2.7 rejected prohibited operational payload key write_off_posted.
