profile_code,profile_version,parameter_code,scope_key,value_text,unit_code,status
M1_14_UNIT_ECONOMICS_CONTRIBUTION,1,processor_payment_cost_rate,GLOBAL,0.006,RATE,APPROVED
M1_14_UNIT_ECONOMICS_CONTRIBUTION,1,default_partner_acquisition_cost_rate,GLOBAL,0.03,RATE,APPROVED
M1_14_UNIT_ECONOMICS_CONTRIBUTION,1,partner_acquisition_cost_rate_cap,GLOBAL,0.08,RATE,APPROVED
M1_14_UNIT_ECONOMICS_CONTRIBUTION,1,funding_cost_annual_rate,GLOBAL,0.09,RATE,APPROVED
M1_14_UNIT_ECONOMICS_CONTRIBUTION,1,servicing_daily_cost_amount,GLOBAL,1.5,USD_PER_DAY,APPROVED
M1_14_UNIT_ECONOMICS_CONTRIBUTION,1,servicing_variable_cost_rate,GLOBAL,0.0015,RATE,APPROVED
M1_14_UNIT_ECONOMICS_CONTRIBUTION,1,operating_cost_fixed_amount,GLOBAL,125.0,USD,APPROVED
M1_14_UNIT_ECONOMICS_CONTRIBUTION,1,operating_cost_variable_rate,GLOBAL,0.0025,RATE,APPROVED
M1_14_UNIT_ECONOMICS_CONTRIBUTION,1,risk_capital_allocation_rate,GLOBAL,0.12,RATE,APPROVED
M1_14_UNIT_ECONOMICS_CONTRIBUTION,1,risk_capital_cost_annual_rate,GLOBAL,0.15,RATE,APPROVED
M1_14_UNIT_ECONOMICS_CONTRIBUTION,1,hurdle_annual_return_rate,GLOBAL,0.18,RATE,APPROVED
M1_14_UNIT_ECONOMICS_CONTRIBUTION,1,economic_tier_1_return_threshold,GLOBAL,0.25,RATE,APPROVED
M1_14_UNIT_ECONOMICS_CONTRIBUTION,1,economic_tier_2_return_threshold,GLOBAL,0.18,RATE,APPROVED
M1_14_UNIT_ECONOMICS_CONTRIBUTION,1,economic_tier_3_return_threshold,GLOBAL,0.1,RATE,APPROVED
M1_14_UNIT_ECONOMICS_CONTRIBUTION,1,annualization_days,GLOBAL,365,DAYS,APPROVED
M1_14_UNIT_ECONOMICS_CONTRIBUTION,1,currency_tolerance_amount,GLOBAL,0.01,USD,APPROVED
M1_14_UNIT_ECONOMICS_CONTRIBUTION,1,rate_tolerance,GLOBAL,1e-08,RATE,APPROVED
