schema_name,table_name,table_comment,partition_by,column_ordinal,column_name,data_type,nullable,default_expression,primary_key_flag,foreign_key_reference,column_comment
msbf_ref,industry,Industry taxonomy for merchant risk and network stress.,,1,industry_code,text,False,,True,,Stable industry key.
msbf_ref,industry,Industry taxonomy for merchant risk and network stress.,,2,industry_name,text,False,,False,,
msbf_ref,industry,Industry taxonomy for merchant risk and network stress.,,3,industry_group,text,False,,False,,
msbf_ref,industry,Industry taxonomy for merchant risk and network stress.,,4,risk_tier,smallint,False,,False,,
msbf_ref,industry,Industry taxonomy for merchant risk and network stress.,,5,dependency_node_code,text,False,,False,,
msbf_ref,industry,Industry taxonomy for merchant risk and network stress.,,6,active_flag,boolean,False,true,False,,
msbf_ref,industry,Industry taxonomy for merchant risk and network stress.,,7,effective_start_date,date,False,DATE '2026-01-01',False,,
msbf_ref,industry,Industry taxonomy for merchant risk and network stress.,,8,effective_end_date,date,True,,False,,
msbf_ref,industry,Industry taxonomy for merchant risk and network stress.,,9,description,text,True,,False,,
msbf_ref,geography_region,Synthetic region taxonomy; no address or protected-class data.,,1,region_code,text,False,,True,,
msbf_ref,geography_region,Synthetic region taxonomy; no address or protected-class data.,,2,region_name,text,False,,False,,
msbf_ref,geography_region,Synthetic region taxonomy; no address or protected-class data.,,3,country_code,char(2),False,'US',False,,
msbf_ref,geography_region,Synthetic region taxonomy; no address or protected-class data.,,4,active_flag,boolean,False,true,False,,
msbf_ref,geography_region,Synthetic region taxonomy; no address or protected-class data.,,5,description,text,True,,False,,
msbf_ref,acceptance_gate_catalog,Build and run acceptance-gate catalog.,,1,gate_id,text,False,,True,,
msbf_ref,acceptance_gate_catalog,Build and run acceptance-gate catalog.,,2,gate_name,text,False,,False,,
msbf_ref,acceptance_gate_catalog,Build and run acceptance-gate catalog.,,3,module_code,text,False,,False,,
msbf_ref,acceptance_gate_catalog,Build and run acceptance-gate catalog.,,4,severity,text,False,,False,,
msbf_ref,acceptance_gate_catalog,Build and run acceptance-gate catalog.,,5,active_flag,boolean,False,true,False,,
msbf_ref,acceptance_gate_catalog,Build and run acceptance-gate catalog.,,6,description,text,True,,False,,
msbf_ctl,run_registry,Technical run identity and frozen-governance references.,,1,run_id,bigint GENERATED ALWAYS AS IDENTITY,False,,True,,
msbf_ctl,run_registry,Technical run identity and frozen-governance references.,,2,run_code,text,False,,False,,
msbf_ctl,run_registry,Technical run identity and frozen-governance references.,,3,run_version,integer,False,1,False,,
msbf_ctl,run_registry,Technical run identity and frozen-governance references.,,4,module_code,text,False,,False,,
msbf_ctl,run_registry,Technical run identity and frozen-governance references.,,5,run_type,text,False,,False,,
msbf_ctl,run_registry,Technical run identity and frozen-governance references.,,6,population_id,text,True,,False,,
msbf_ctl,run_registry,Technical run identity and frozen-governance references.,,7,scenario_id,bigint,True,,False,msbf_ctl.scenario_registry.scenario_id,
msbf_ctl,run_registry,Technical run identity and frozen-governance references.,,8,parameter_set_id,bigint,False,,False,msbf_ctl.parameter_set.parameter_set_id,
msbf_ctl,run_registry,Technical run identity and frozen-governance references.,,9,policy_profile_id,bigint,True,,False,msbf_ctl.policy_profile.policy_profile_id,
msbf_ctl,run_registry,Technical run identity and frozen-governance references.,,10,strategy_profile_id,bigint,True,,False,msbf_ctl.strategy_profile.strategy_profile_id,
msbf_ctl,run_registry,Technical run identity and frozen-governance references.,,11,product_structure_profile_id,bigint,True,,False,msbf_ctl.product_legal_structure_profile.product_structure_profile_id,
msbf_ctl,run_registry,Technical run identity and frozen-governance references.,,12,operating_model_profile_id,bigint,True,,False,msbf_ctl.operating_model_profile.operating_model_profile_id,
msbf_ctl,run_registry,Technical run identity and frozen-governance references.,,13,jurisdiction_profile_id,bigint,True,,False,msbf_ctl.jurisdiction_profile.jurisdiction_profile_id,
