entity,field,description
application_operating_resilience_snapshot,module1_run_id,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,scenario_id,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,merchant_application_id,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,population_id,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,merchant_id,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,as_of_date,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,merchant_size_tier,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,industry_code,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,relationship_stage,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,cashflow_feature_snapshot_hash,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,liquidity_capacity_snapshot_hash,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,source_confidence_score,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,data_confidence_tier,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,feature_completeness_status,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,capacity_evidence_status,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,verification_disposition,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,fraud_risk_tier,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,processor_continuity_risk_tier,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,pos_history_days,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,deposit_history_days,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,avg_daily_eligible_sales_30d,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,sales_growth_30d_vs_90d,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,daily_sales_cv_90d,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,zero_sales_day_rate_30d,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,active_sales_day_rate_30d,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,seasonality_index_180d,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,largest_30d_share_180d,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,processor_outage_day_rate_30d,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,processor_degraded_day_rate_30d,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,negative_balance_day_rate_30d,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,nsf_count_30d,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,cash_flow_buffer_days,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,sales_linked_payment_coverage_ratio,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,total_obligation_to_sales_rate,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,residual_daily_operating_cash_flow,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,post_financing_buffer_days,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,stacking_depth,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,obligation_concentration_rate,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,revenue_resilience_score,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,liquidity_resilience_score,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,burden_resilience_score,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,continuity_resilience_score,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,data_confidence_resilience_score,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,operating_resilience_score,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,independent_resilience_tier,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,baseline_resilience_tier,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,resilience_tier,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,independent_archetype_code,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,baseline_archetype_code,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,archetype_code,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,archetype_risk_rank,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,stress_resilience_worsening_flag,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,stress_archetype_worsening_flag,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,resilience_status,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,operating_resilience_evidence_status,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,manual_review_recommended_flag,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,fallback_path_code,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,primary_resilience_reason_code,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,secondary_resilience_reason_codes,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,row_hash,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,created_by_run_id,Governed M1.11 operating-resilience field.
application_operating_resilience_snapshot,created_at,Governed M1.11 operating-resilience field.
operating_resilience_component_value,module1_run_id,Governed M1.11 component field.
operating_resilience_component_value,scenario_id,Governed M1.11 component field.
operating_resilience_component_value,merchant_application_id,Governed M1.11 component field.
operating_resilience_component_value,component_code,Governed M1.11 component field.
operating_resilience_component_value,component_version,Governed M1.11 component field.
operating_resilience_component_value,component_score,Governed M1.11 component field.
operating_resilience_component_value,component_weight,Governed M1.11 component field.
operating_resilience_component_value,weighted_score,Governed M1.11 component field.
operating_resilience_component_value,component_status,Governed M1.11 component field.
operating_resilience_component_value,component_reason_code,Governed M1.11 component field.
operating_resilience_component_value,lineage_hash,Governed M1.11 component field.
operating_resilience_component_value,calculation_hash,Governed M1.11 component field.
operating_resilience_component_value,created_by_run_id,Governed M1.11 component field.
operating_resilience_component_value,created_at,Governed M1.11 component field.
