table_name,column_name,usage
msbf_ctl.run_registry,run_id,M1.9 input or control dependency
msbf_ctl.run_registry,run_code,M1.9 input or control dependency
msbf_ctl.run_registry,run_version,M1.9 input or control dependency
msbf_ctl.run_registry,run_status,M1.9 input or control dependency
msbf_ctl.run_registry,population_id,M1.9 input or control dependency
msbf_ctl.run_registry,as_of_date,M1.9 input or control dependency
msbf_ctl.run_registry,parameter_snapshot_hash,M1.9 input or control dependency
msbf_ctl.run_registry,profile_snapshot_hash,M1.9 input or control dependency
msbf_ctl.run_registry,source_snapshot_hash,M1.9 input or control dependency
msbf_ctl.scenario_registry,scenario_id,M1.9 input or control dependency
msbf_ctl.scenario_registry,scenario_code,M1.9 input or control dependency
msbf_ctl.scenario_registry,scenario_version,M1.9 input or control dependency
msbf_ctl.scenario_registry,scenario_type,M1.9 input or control dependency
msbf_ctl.scenario_registry,status,M1.9 input or control dependency
msbf_ctl.acceptance_gate_result,run_id,M1.9 input or control dependency
msbf_ctl.acceptance_gate_result,gate_id,M1.9 input or control dependency
msbf_ctl.acceptance_gate_result,review_version,M1.9 input or control dependency
msbf_ctl.acceptance_gate_result,result_status,M1.9 input or control dependency
msbf_ctl.run_evidence,run_id,M1.9 input or control dependency
msbf_ctl.run_evidence,evidence_code,M1.9 input or control dependency
msbf_ctl.run_evidence,metric_value_text,M1.9 input or control dependency
msbf_ctl.run_evidence,metric_value_numeric,M1.9 input or control dependency
msbf_ctl.run_evidence,status,M1.9 input or control dependency
msbf_ctl.policy_profile,policy_profile_id,M1.9 input or control dependency
msbf_ctl.policy_profile,profile_code,M1.9 input or control dependency
msbf_ctl.policy_profile,profile_version,M1.9 input or control dependency
msbf_ctl.policy_profile,status,M1.9 input or control dependency
msbf_ctl.policy_profile,profile_payload,M1.9 input or control dependency
msbf_ctl.run_parameter_snapshot,run_id,M1.9 input or control dependency
msbf_ctl.run_parameter_snapshot,parameter_name,M1.9 input or control dependency
msbf_ctl.run_parameter_snapshot,scope_key,M1.9 input or control dependency
msbf_ctl.run_parameter_snapshot,resolved_value,M1.9 input or control dependency
msbf_m1.population_registry,population_id,M1.9 input or control dependency
msbf_m1.population_registry,history_start_date,M1.9 input or control dependency
msbf_m1.population_registry,history_end_date,M1.9 input or control dependency
msbf_m1.population_registry,population_status,M1.9 input or control dependency
msbf_m1.population_registry,population_hash,M1.9 input or control dependency
msbf_m1.merchant_application,merchant_application_id,M1.9 input or control dependency
msbf_m1.merchant_application,population_id,M1.9 input or control dependency
msbf_m1.merchant_application,merchant_id,M1.9 input or control dependency
msbf_m1.merchant_application,processor_account_id,M1.9 input or control dependency
msbf_m1.merchant_application,partner_channel_id,M1.9 input or control dependency
msbf_m1.merchant_application,as_of_date,M1.9 input or control dependency
msbf_m1.merchant_industry_assignment,merchant_id,M1.9 input or control dependency
msbf_m1.merchant_industry_assignment,industry_code,M1.9 input or control dependency
msbf_m1.merchant_industry_assignment,assignment_type,M1.9 input or control dependency
msbf_m1.processor_account,processor_account_id,M1.9 input or control dependency
msbf_m1.processor_account,merchant_id,M1.9 input or control dependency
msbf_m1.processor_account,processor_account_open_date,M1.9 input or control dependency
msbf_m1.source_snapshot,source_snapshot_id,M1.9 input or control dependency
msbf_m1.source_snapshot,module1_run_id,M1.9 input or control dependency
msbf_m1.source_snapshot,merchant_application_id,M1.9 input or control dependency
msbf_m1.source_snapshot,source_code,M1.9 input or control dependency
msbf_m1.source_snapshot,history_start_date,M1.9 input or control dependency
msbf_m1.source_snapshot,history_end_date,M1.9 input or control dependency
msbf_m1.source_snapshot,observed_observation_count,M1.9 input or control dependency
msbf_m1.source_snapshot,availability_status,M1.9 input or control dependency
msbf_m1.source_snapshot,quality_status,M1.9 input or control dependency
msbf_m1.source_snapshot,data_confidence_score,M1.9 input or control dependency
msbf_m1.application_verification_fraud_snapshot,module1_run_id,M1.9 input or control dependency
msbf_m1.application_verification_fraud_snapshot,merchant_application_id,M1.9 input or control dependency
msbf_m1.application_verification_fraud_snapshot,verification_disposition,M1.9 input or control dependency
msbf_m1.application_verification_fraud_snapshot,fraud_risk_tier,M1.9 input or control dependency
msbf_m1.application_verification_fraud_snapshot,processor_continuity_status,M1.9 input or control dependency
msbf_m1.application_verification_fraud_snapshot,processor_continuity_risk_tier,M1.9 input or control dependency
msbf_m1.application_verification_fraud_snapshot,stress_processor_continuity_status,M1.9 input or control dependency
msbf_m1.application_verification_fraud_snapshot,stress_processor_continuity_risk_tier,M1.9 input or control dependency
msbf_m1.application_verification_fraud_snapshot,manual_review_recommended_flag,M1.9 input or control dependency
msbf_m1.application_verification_fraud_snapshot,hard_stop_recommended_flag,M1.9 input or control dependency
msbf_m1.application_verification_fraud_snapshot,row_hash,M1.9 input or control dependency
msbf_m1.merchant_pos_daily_scenario,scenario_id,M1.9 input or control dependency
msbf_m1.merchant_pos_daily_scenario,population_id,M1.9 input or control dependency
msbf_m1.merchant_pos_daily_scenario,merchant_id,M1.9 input or control dependency
msbf_m1.merchant_pos_daily_scenario,processor_account_id,M1.9 input or control dependency
msbf_m1.merchant_pos_daily_scenario,observation_date,M1.9 input or control dependency
msbf_m1.merchant_pos_daily_scenario,gross_pos_sales,M1.9 input or control dependency
msbf_m1.merchant_pos_daily_scenario,eligible_pos_sales,M1.9 input or control dependency
msbf_m1.merchant_pos_daily_scenario,refund_amount,M1.9 input or control dependency
msbf_m1.merchant_pos_daily_scenario,chargeback_amount,M1.9 input or control dependency
msbf_m1.merchant_pos_daily_scenario,reversal_amount,M1.9 input or control dependency
msbf_m1.merchant_pos_daily_scenario,net_merchant_proceeds,M1.9 input or control dependency
msbf_m1.merchant_pos_daily_scenario,zero_sales_day_flag,M1.9 input or control dependency
msbf_m1.merchant_pos_daily_scenario,processor_status,M1.9 input or control dependency
msbf_m1.merchant_pos_daily_scenario,data_connection_status,M1.9 input or control dependency
msbf_m1.merchant_pos_daily_scenario,generated_by_run_id,M1.9 input or control dependency
msbf_m1.merchant_deposit_daily_scenario,scenario_id,M1.9 input or control dependency
msbf_m1.merchant_deposit_daily_scenario,population_id,M1.9 input or control dependency
msbf_m1.merchant_deposit_daily_scenario,merchant_id,M1.9 input or control dependency
msbf_m1.merchant_deposit_daily_scenario,observation_date,M1.9 input or control dependency
msbf_m1.merchant_deposit_daily_scenario,deposit_amount,M1.9 input or control dependency
msbf_m1.merchant_deposit_daily_scenario,withdrawal_amount,M1.9 input or control dependency
msbf_m1.merchant_deposit_daily_scenario,available_balance,M1.9 input or control dependency
msbf_m1.merchant_deposit_daily_scenario,minimum_balance,M1.9 input or control dependency
msbf_m1.merchant_deposit_daily_scenario,nsf_count,M1.9 input or control dependency
msbf_m1.merchant_deposit_daily_scenario,negative_balance_flag,M1.9 input or control dependency
msbf_m1.merchant_deposit_daily_scenario,generated_by_run_id,M1.9 input or control dependency
msbf_m1.feature_definition,feature_code,M1.9 input or control dependency
msbf_m1.feature_definition,feature_version,M1.9 input or control dependency
msbf_m1.feature_definition,feature_family_code,M1.9 input or control dependency
msbf_m1.feature_definition,active_flag,M1.9 input or control dependency
