table_name,column_name,dependency_role
msbf_ctl.run_registry,run_id,SOURCE
msbf_ctl.run_registry,run_code,SOURCE
msbf_ctl.run_registry,run_version,SOURCE
msbf_ctl.run_registry,run_status,SOURCE
msbf_ctl.run_registry,as_of_date,SOURCE
msbf_ctl.run_registry,population_id,SOURCE
msbf_ctl.run_registry,parameter_snapshot_hash,SOURCE
msbf_ctl.run_registry,profile_snapshot_hash,SOURCE
msbf_ctl.run_registry,source_snapshot_hash,SOURCE
msbf_ctl.run_parameter_snapshot,run_id,SOURCE
msbf_ctl.run_parameter_snapshot,parameter_name,SOURCE
msbf_ctl.run_parameter_snapshot,scope_key,SOURCE
msbf_ctl.run_parameter_snapshot,resolved_value,SOURCE
msbf_ctl.policy_profile,profile_code,SOURCE
msbf_ctl.policy_profile,profile_version,SOURCE
msbf_ctl.policy_profile,status,SOURCE
msbf_ctl.policy_profile,effective_start_date,SOURCE
msbf_ctl.policy_profile,effective_end_date,SOURCE
msbf_ctl.policy_profile,profile_payload,SOURCE
msbf_ctl.run_evidence,run_id,SOURCE
msbf_ctl.run_evidence,evidence_code,SOURCE
msbf_ctl.run_evidence,metric_value_text,SOURCE
msbf_ctl.run_evidence,status,SOURCE
msbf_ctl.acceptance_gate_result,run_id,SOURCE
msbf_ctl.acceptance_gate_result,gate_id,SOURCE
msbf_ctl.acceptance_gate_result,review_version,SOURCE
msbf_ctl.acceptance_gate_result,result_status,SOURCE
msbf_m1.merchant_application,merchant_application_id,SOURCE
msbf_m1.merchant_application,merchant_id,SOURCE
msbf_m1.merchant_application,processor_account_id,SOURCE
msbf_m1.merchant_application,partner_channel_id,SOURCE
msbf_m1.merchant_application,as_of_date,SOURCE
msbf_m1.merchant_application,created_by_run_id,SOURCE
msbf_m1.merchant_master,merchant_id,SOURCE
msbf_m1.merchant_master,legal_entity_type,SOURCE
msbf_m1.merchant_master,merchant_size_tier,SOURCE
msbf_m1.merchant_owner_guarantor,merchant_id,SOURCE
msbf_m1.merchant_owner_guarantor,ownership_rate,SOURCE
msbf_m1.merchant_owner_guarantor,major_derogatory_flag,SOURCE
msbf_m1.merchant_owner_guarantor,bankruptcy_flag,SOURCE
msbf_m1.merchant_owner_guarantor,created_by_run_id,SOURCE
msbf_m1.merchant_industry_assignment,merchant_id,SOURCE
msbf_m1.merchant_industry_assignment,industry_code,SOURCE
msbf_m1.merchant_industry_assignment,assignment_type,SOURCE
msbf_m1.merchant_relationship_snapshot,merchant_id,SOURCE
msbf_m1.merchant_relationship_snapshot,as_of_date,SOURCE
msbf_m1.merchant_relationship_snapshot,relationship_stage,SOURCE
msbf_m1.merchant_relationship_snapshot,deposit_relationship_flag,SOURCE
msbf_m1.processor_account,processor_account_id,SOURCE
msbf_m1.processor_account,processor_account_open_date,SOURCE
msbf_m1.processor_account,processor_risk_tier,SOURCE
msbf_m1.processor_account,split_funding_capable_flag,SOURCE
msbf_m1.partner_channel,partner_channel_id,SOURCE
msbf_m1.partner_channel,channel_type,SOURCE
msbf_m1.partner_channel,partner_risk_tier,SOURCE
msbf_m1.source_snapshot,source_snapshot_id,SOURCE
msbf_m1.source_snapshot,module1_run_id,SOURCE
msbf_m1.source_snapshot,merchant_application_id,SOURCE
msbf_m1.source_snapshot,source_code,SOURCE
msbf_m1.source_snapshot,availability_status,SOURCE
msbf_m1.source_snapshot,quality_status,SOURCE
msbf_m1.source_snapshot,data_confidence_score,SOURCE
msbf_m1.merchant_pos_daily_base,merchant_id,SOURCE
msbf_m1.merchant_pos_daily_base,observation_date,SOURCE
msbf_m1.merchant_pos_daily_base,gross_pos_sales,SOURCE
msbf_m1.merchant_pos_daily_base,refund_amount,SOURCE
msbf_m1.merchant_pos_daily_base,chargeback_amount,SOURCE
msbf_m1.merchant_pos_daily_base,processor_status,SOURCE
msbf_m1.merchant_pos_daily_base,data_connection_status,SOURCE
msbf_m1.merchant_pos_daily_base,generated_by_run_id,SOURCE
msbf_m1.merchant_pos_daily_scenario,scenario_id,SOURCE
msbf_m1.merchant_pos_daily_scenario,merchant_id,SOURCE
msbf_m1.merchant_pos_daily_scenario,observation_date,SOURCE
msbf_m1.merchant_pos_daily_scenario,processor_status,SOURCE
msbf_m1.merchant_pos_daily_scenario,data_connection_status,SOURCE
msbf_m1.merchant_pos_daily_scenario,generated_by_run_id,SOURCE
msbf_ctl.scenario_registry,scenario_id,SOURCE
msbf_ctl.scenario_registry,scenario_code,SOURCE
msbf_ref.verification_check_code,check_code,SOURCE
msbf_ref.verification_check_code,check_domain,SOURCE
msbf_ref.verification_check_code,hard_stop_eligible_flag,SOURCE
msbf_ref.verification_check_code,active_flag,SOURCE
