table_schema,table_name,ordinal_position,column_name,data_type_and_constraints,description
msbf_m1,application_ead_path_value,1,module1_run_id,bigint NOT NULL,Governed module run lineage.
msbf_m1,application_ead_path_value,2,scenario_id,bigint NOT NULL,Accepted matched scenario identity.
msbf_m1,application_ead_path_value,3,merchant_application_id,text NOT NULL,Accepted merchant application identity.
msbf_m1,application_ead_path_value,4,path_day,smallint NOT NULL,Zero-based day on the requested payoff path.
msbf_m1,application_ead_path_value,5,path_bucket,text NOT NULL,"Early, middle, or late timing bucket."
msbf_m1,application_ead_path_value,6,path_bucket_day_count,smallint NOT NULL,Number of days represented by the timing bucket.
msbf_m1,application_ead_path_value,7,paydown_curve_shape,"numeric(12,8) NOT NULL",Frozen payoff-horizon curve parameter.
msbf_m1,application_ead_path_value,8,beginning_exposure_amount,"numeric(18,2) NOT NULL",Contractual receivable exposure at the start of the path day.
msbf_m1,application_ead_path_value,9,scheduled_remittance_amount,"numeric(18,2) NOT NULL",Governed daily remittance assumption.
msbf_m1,application_ead_path_value,10,expected_receivable_reduction_amount,"numeric(18,2) NOT NULL",Expected path-day exposure reduction.
msbf_m1,application_ead_path_value,11,ending_exposure_amount,"numeric(18,2) NOT NULL",Contractual receivable exposure at the end of the path day.
msbf_m1,application_ead_path_value,12,default_timing_weight,"numeric(14,10) NOT NULL",Daily allocation of governed default-timing mass.
msbf_m1,application_ead_path_value,13,weighted_ead_amount,"numeric(18,2) NOT NULL",Ending exposure multiplied by daily timing weight.
msbf_m1,application_ead_path_value,14,exposure_basis_code,text NOT NULL,Exposure basis code.
msbf_m1,application_ead_path_value,15,payment_basis_code,text NOT NULL,Payment basis code.
msbf_m1,application_ead_path_value,16,path_hash,text NOT NULL,Deterministic physical-row hash.
msbf_m1,application_ead_path_value,17,created_by_run_id,bigint NOT NULL,Run that generated the record.
msbf_m1,application_ead_path_value,18,created_at,timestamptz DEFAULT clock_timestamp() NOT NULL,Database creation timestamp.
msbf_m1,application_exposure_recovery_loss_snapshot,1,module1_run_id,bigint NOT NULL,Governed module run lineage.
msbf_m1,application_exposure_recovery_loss_snapshot,2,scenario_id,bigint NOT NULL,Accepted matched scenario identity.
msbf_m1,application_exposure_recovery_loss_snapshot,3,merchant_application_id,text NOT NULL,Accepted merchant application identity.
msbf_m1,application_exposure_recovery_loss_snapshot,4,population_id,text NOT NULL,Population id.
msbf_m1,application_exposure_recovery_loss_snapshot,5,merchant_id,text NOT NULL,Merchant id.
msbf_m1,application_exposure_recovery_loss_snapshot,6,as_of_date,date NOT NULL,As of date.
msbf_m1,application_exposure_recovery_loss_snapshot,7,industry_code,text NOT NULL,Industry code.
msbf_m1,application_exposure_recovery_loss_snapshot,8,integrated_risk_snapshot_hash,text NOT NULL,Integrated risk snapshot hash.
msbf_m1,application_exposure_recovery_loss_snapshot,9,liquidity_capacity_snapshot_hash,text NOT NULL,Liquidity capacity snapshot hash.
msbf_m1,application_exposure_recovery_loss_snapshot,10,application_request_hash,text NOT NULL,Application request hash.
msbf_m1,application_exposure_recovery_loss_snapshot,11,integrated_risk_evidence_status,text NOT NULL,Integrated risk evidence status.
msbf_m1,application_exposure_recovery_loss_snapshot,12,recovery_evidence_status,text NOT NULL,"SUPPORTED, PARAMETER_ONLY, or CONFLICT recovery evidence state."
msbf_m1,application_exposure_recovery_loss_snapshot,13,loss_evidence_status,text NOT NULL,"COMPLETE, PARTIAL, or BLOCKED comparative loss evidence state."
msbf_m1,application_exposure_recovery_loss_snapshot,14,synthetic_merchant_risk_proxy,"numeric(12,8)",Accepted M1.12 synthetic zero-to-one risk proxy.
msbf_m1,application_exposure_recovery_loss_snapshot,15,integrated_risk_tier,smallint NOT NULL,Integrated risk tier.
msbf_m1,application_exposure_recovery_loss_snapshot,16,requested_funding_amount,"numeric(18,2) NOT NULL",Requested funding amount.
msbf_m1,application_exposure_recovery_loss_snapshot,17,requested_total_repayment_amount,"numeric(18,2) NOT NULL",Requested total repayment amount.
msbf_m1,application_exposure_recovery_loss_snapshot,18,requested_finance_charge_amount,"numeric(18,2) NOT NULL",Requested finance charge amount.
msbf_m1,application_exposure_recovery_loss_snapshot,19,requested_expected_payoff_days,smallint NOT NULL,Requested expected payoff days.
msbf_m1,application_exposure_recovery_loss_snapshot,20,scenario_expected_daily_remittance,"numeric(18,2) NOT NULL",Scenario expected daily remittance.
msbf_m1,application_exposure_recovery_loss_snapshot,21,baseline_expected_daily_remittance,"numeric(18,2) NOT NULL",Baseline expected daily remittance.
msbf_m1,application_exposure_recovery_loss_snapshot,22,governed_path_daily_payment,"numeric(18,2) NOT NULL",Governed path daily payment.
msbf_m1,application_exposure_recovery_loss_snapshot,23,paydown_curve_shape,"numeric(12,8) NOT NULL",Frozen payoff-horizon curve parameter.
msbf_m1,application_exposure_recovery_loss_snapshot,24,initial_receivable_exposure_amount,"numeric(18,2) NOT NULL",Initial receivable exposure amount.
msbf_m1,application_exposure_recovery_loss_snapshot,25,path_weighted_ead_amount,"numeric(18,2) NOT NULL",Default-timing-weighted contractual exposure.
msbf_m1,application_exposure_recovery_loss_snapshot,26,expected_ead_rate,"numeric(12,8) NOT NULL",Expected ead rate.
msbf_m1,application_exposure_recovery_loss_snapshot,27,industry_lgd_baseline_rate,"numeric(12,8) NOT NULL",Industry lgd baseline rate.
msbf_m1,application_exposure_recovery_loss_snapshot,28,scenario_lgd_addon_rate,"numeric(12,8) NOT NULL",Scenario lgd addon rate.
msbf_m1,application_exposure_recovery_loss_snapshot,29,collateral_available_value,"numeric(18,2) NOT NULL",Collateral available value.
msbf_m1,application_exposure_recovery_loss_snapshot,30,guarantee_capacity_amount,"numeric(18,2) NOT NULL",Guarantee capacity amount.
msbf_m1,application_exposure_recovery_loss_snapshot,31,collateral_recovery_credit_rate,"numeric(12,8) NOT NULL",Collateral recovery credit rate.
msbf_m1,application_exposure_recovery_loss_snapshot,32,guarantee_recovery_credit_rate,"numeric(12,8) NOT NULL",Guarantee recovery credit rate.
