table_name,column_name,dependency_role
msbf_ctl.run_registry,run_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.run_registry,run_status,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.run_registry,population_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.run_registry,as_of_date,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.run_registry,parameter_snapshot_hash,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.run_registry,profile_snapshot_hash,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.run_registry,source_snapshot_hash,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.run_parameter_snapshot,run_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.run_parameter_snapshot,parameter_name,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.run_parameter_snapshot,scope_key,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.run_parameter_snapshot,resolved_value,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.policy_profile,profile_code,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.policy_profile,profile_version,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.policy_profile,status,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.policy_profile,profile_payload,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.scenario_registry,scenario_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.scenario_registry,scenario_set_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.scenario_registry,scenario_code,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.scenario_registry,scenario_version,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.scenario_registry,status,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.scenario_set,scenario_set_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.scenario_set,scenario_set_code,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.scenario_set,scenario_set_version,"M1.13 governed input, lineage, configuration, or acceptance evidence"
