"scenario_code","merchant_application_id","source_pricing_disposition_code","final_decision_outcome_code","final_offer_authorized_flag","decline_authorized_flag","manual_review_required_flag","final_offer_amount","final_remittance_rate","final_payback_multiple","final_collection_horizon_days","primary_decision_reason_code"
BASELINE,MSBF_POP_0001_M000002_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000040_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000043_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000046_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000047_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000051_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000068_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000079_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000085_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000088_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000090_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000092_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000093_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000096_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000097_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000100_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000101_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000106_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000112_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000116_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000124_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000133_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000134_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000140_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000143_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000145_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000149_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000155_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000158_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000161_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000169_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000188_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000196_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000198_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000201_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000202_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000204_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000205_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000206_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
BASELINE,MSBF_POP_0001_M000212_A01,COUNTEROFFER_FOUNDATION_REVIEW,COUNTEROFFER_REVIEW_REQUIRED,false,false,true,,,,,M2_3_COUNTEROFFER_REVIEW_REQUIRED
