evidence_code,purpose
DRAFT,Expected rejection proof.
M2_6_NEG_002_RECOMMENDATION_ONLY_,Expected rejection proof.
M2_6_NEG_003_NO_MERCHANT_CONTACT_,Expected rejection proof.
M2_6_NEG_004_NO_PAYMENT_CHANGE_EX,Expected rejection proof.
M2_6_NEG_005_NO_WRITE_OFF_CHARGE_,Expected rejection proof.
M2_6_NEG_006_NO_LEGAL_OR_COLLECTI,Expected rejection proof.
M2_6_NEG_007_NO_EXTERNAL_NOTICE_G,Expected rejection proof.
M2_6_NEG_008_OUTCOME_EXECUTED_FLAG,Expected rejection proof.
M2_6_NEG_009_ACTION_EXECUTED_FLAG,Expected rejection proof.
A,Expected rejection proof.
M2_6_NEG_011_INVALID_TEMP_TERMS,Expected rejection proof.
MUTATION_TEST,Expected rejection proof.
M2_6_NEG_013_ARCHIVE_DELETE,Expected rejection proof.
M2_6_NEG_014_POST_GENERATION_RERUN,Expected rejection proof.
M2_6_NEG_015_PREMATURE_ACCEPTANCE,Expected rejection proof.
00000000000000000000000000000000,Expected rejection proof.
"{""merchant_contact_executed"":true}",Expected rejection proof.
"{""payment_change_executed"":true}",Expected rejection proof.
"{""external_notice_payload"":{}}",Expected rejection proof.
"{""production_adverse_action_notice"":true}",Expected rejection proof.
