dimension,category_code,target_count,target_share
INDUSTRY,CONSTRUCTION_TRADES,98,0.13066667
INDUSTRY,ECOMMERCE_DIGITAL,68,0.09066667
INDUSTRY,ENERGY_SERVICES,60,0.08000000
INDUSTRY,GENERAL_RETAIL,120,0.16000000
INDUSTRY,HEALTHCARE_SERVICES,82,0.10933333
INDUSTRY,PROFESSIONAL_SERVICES,112,0.14933333
INDUSTRY,RESTAURANT_FOOD_SERVICE,120,0.16000000
INDUSTRY,TRANSPORTATION_LOGISTICS,90,0.12000000
REGION,MIDWEST,150,0.20000000
REGION,NORTHEAST,135,0.18000000
REGION,SOUTHEAST,180,0.24000000
REGION,SOUTHWEST,113,0.15066667
REGION,WEST,172,0.22933333
MERCHANT_SIZE,LOWER_MIDDLE,173,0.23066667
MERCHANT_SIZE,MICRO,188,0.25066667
MERCHANT_SIZE,MIDDLE,52,0.06933333
MERCHANT_SIZE,SMALL,337,0.44933333
RELATIONSHIP_STAGE,LOW_AND_GROW,75,0.10000000
RELATIONSHIP_STAGE,NEW,413,0.55066667
RELATIONSHIP_STAGE,RETURNING_GOOD,187,0.24933333
RELATIONSHIP_STAGE,RETURNING_MIXED,75,0.10000000
LEGAL_ENTITY,CORPORATION,150,0.20000000
LEGAL_ENTITY,LLC,413,0.55066667
LEGAL_ENTITY,PARTNERSHIP,37,0.04933333
LEGAL_ENTITY,SOLE_PROPRIETOR,150,0.20000000
PARTNER_CHANNEL,CH_BANK_RELATIONSHIP,135,0.18000000
PARTNER_CHANNEL,CH_BROKER_NETWORK,90,0.12000000
PARTNER_CHANNEL,CH_DIGITAL_DIRECT,150,0.20000000
PARTNER_CHANNEL,CH_PROCESSOR_DIRECT,255,0.34000000
PARTNER_CHANNEL,CH_STRATEGIC_PARTNER,120,0.16000000
