parameter_name,value,data_type,purpose
generation_enabled,true,BOOLEAN,Governed M1.11 policy input.
methodology_version,M1_11_METHOD_V1,TEXT,Governed M1.11 policy input.
stress_resilience_tier_floor_to_baseline,true,BOOLEAN,Governed M1.11 policy input.
stress_archetype_rank_floor_to_baseline,true,BOOLEAN,Governed M1.11 policy input.
component_weight_revenue,0.3,NUMERIC,Governed M1.11 policy input.
component_weight_liquidity,0.25,NUMERIC,Governed M1.11 policy input.
component_weight_burden,0.25,NUMERIC,Governed M1.11 policy input.
component_weight_continuity,0.1,NUMERIC,Governed M1.11 policy input.
component_weight_data_confidence,0.1,NUMERIC,Governed M1.11 policy input.
tier_1_score_min,80.0,NUMERIC,Governed M1.11 policy input.
tier_2_score_min,65.0,NUMERIC,Governed M1.11 policy input.
tier_3_score_min,50.0,NUMERIC,Governed M1.11 policy input.
tier_4_score_min,35.0,NUMERIC,Governed M1.11 policy input.
minimum_history_days,90,NUMERIC,Governed M1.11 policy input.
disruption_outage_rate,0.03,NUMERIC,Governed M1.11 policy input.
disruption_active_sales_rate_min,0.6,NUMERIC,Governed M1.11 policy input.
disruption_zero_sales_rate,0.35,NUMERIC,Governed M1.11 policy input.
declining_growth_threshold,-0.1,NUMERIC,Governed M1.11 policy input.
declining_scenario_delta_threshold,-0.1,NUMERIC,Governed M1.11 policy input.
volatile_cv_threshold,0.7,NUMERIC,Governed M1.11 policy input.
seasonal_index_threshold,1.3,NUMERIC,Governed M1.11 policy input.
seasonal_concentration_threshold,0.25,NUMERIC,Governed M1.11 policy input.
growing_growth_threshold,0.1,NUMERIC,Governed M1.11 policy input.
growing_active_sales_rate_min,0.7,NUMERIC,Governed M1.11 policy input.
revenue_growth_floor,-0.3,NUMERIC,Governed M1.11 policy input.
revenue_cv_neutral,0.3,NUMERIC,Governed M1.11 policy input.
revenue_cv_max,1.0,NUMERIC,Governed M1.11 policy input.
revenue_zero_sales_max,0.35,NUMERIC,Governed M1.11 policy input.
revenue_concentration_neutral,0.2,NUMERIC,Governed M1.11 policy input.
revenue_concentration_max,0.55,NUMERIC,Governed M1.11 policy input.
liquidity_buffer_target_days,30.0,NUMERIC,Governed M1.11 policy input.
liquidity_negative_rate_max,0.25,NUMERIC,Governed M1.11 policy input.
liquidity_nsf_count_max,5.0,NUMERIC,Governed M1.11 policy input.
liquidity_cashflow_buffer_target_days,30.0,NUMERIC,Governed M1.11 policy input.
burden_coverage_target,1.5,NUMERIC,Governed M1.11 policy input.
burden_rate_max,0.5,NUMERIC,Governed M1.11 policy input.
burden_stacking_depth_max,4.0,NUMERIC,Governed M1.11 policy input.
continuity_outage_rate_max,0.1,NUMERIC,Governed M1.11 policy input.
continuity_degraded_rate_max,0.25,NUMERIC,Governed M1.11 policy input.
review_tier_threshold,4,NUMERIC,Governed M1.11 policy input.
review_fraud_tier_threshold,4,NUMERIC,Governed M1.11 policy input.
